alert_id,meter_id,zone,alert_timestamp,anomaly_type,severity,anomaly_score,status,estimated_loss_units,assigned_inspector,resolution_timestamp,root_cause,model_version
ALT-000013,BSCM-000149,Whitefield,2024-03-09 12:00:00,PF Degradation,High,0.5658,Open,0.0,,,,Ensemble-v1
ALT-000014,BSCM-000257,Hebbal,2023-10-21 15:00:00,Reverse Energy,Medium,0.6802,Investigating,0.0,INS-0020,,,Ensemble-v1
ALT-000015,BSCM-000142,BTM Layout,2024-07-28 13:00:00,Phase Imbalance,High,0.9368,Resolved,0.0,INS-0018,2024-07-29T19:00:00,Faulty firmware,Ensemble-v1
ALT-000016,BSCM-000118,Rajajinagar,2023-09-05 07:00:00,Energy Theft,Medium,0.8022,Investigating,243.28,INS-0008,,,Ensemble-v1
ALT-000017,BSCM-000103,BTM Layout,2023-09-10 17:00:00,Voltage Sag,Low,0.8623,Investigating,0.0,INS-0015,,,TheftDetect-v3.0
ALT-000018,BSCM-000254,Whitefield,2023-03-26 05:00:00,Reverse Energy,Low,0.8451,Investigating,0.0,INS-0018,,,TheftDetect-v2.1
ALT-000019,BSCM-000032,Yelahanka,2023-06-29 01:00:00,Energy Theft,High,0.5651,Open,422.61,,,,TheftDetect-v3.0
ALT-000020,BSCM-000145,Yelahanka,2023-03-30 08:00:00,Overcurrent,High,0.6489,Resolved,0.0,INS-0020,2023-04-01T11:00:00,Faulty firmware,TheftDetect-v2.1
ALT-000021,BSCM-000065,Koramangala,2023-04-22 21:00:00,Communication Loss,Critical,0.6327,Open,0.0,,,,TheftDetect-v2.1
ALT-000022,BSCM-000322,Indiranagar,2024-04-04 11:00:00,Communication Loss,Low,0.6805,Open,0.0,,,,TheftDetect-v2.1
ALT-000023,BSCM-000185,Whitefield,2024-04-06 22:00:00,Meter Tamper,Medium,0.8032,Resolved,0.0,INS-0007,2024-04-11T09:00:00,Rodent damage,Ensemble-v1
ALT-000024,BSCM-000452,Rajajinagar,2023-03-09 23:00:00,Overcurrent,Medium,0.8455,Resolved,0.0,INS-0013,2023-03-13T04:00:00,Faulty firmware,TheftDetect-v3.0
ALT-000025,BSCM-000131,Koramangala,2023-10-16 03:00:00,Voltage Sag,Medium,0.8589,Open,0.0,,,,TheftDetect-v3.0
ALT-000026,BSCM-000260,Whitefield,2024-01-25 10:00:00,Overcurrent,High,0.6059,Open,0.0,,,,TheftDetect-v2.1
ALT-000027,BSCM-000155,Jayanagar,2024-12-28 00:00:00,Phase Imbalance,Medium,0.7746,False Positive,0.0,INS-0018,,,TheftDetect-v3.0
ALT-000028,BSCM-000127,Jayanagar,2023-01-08 19:00:00,Energy Theft,Critical,0.9478,Investigating,263.49,INS-0011,,,Ensemble-v1
ALT-000029,BSCM-000135,Electronic City,2024-01-04 15:00:00,Overcurrent,High,0.7241,Resolved,0.0,INS-0011,2024-01-09T01:00:00,External surge,TheftDetect-v3.0
ALT-000030,BSCM-000456,Whitefield,2023-02-03 16:00:00,Meter Tamper,Critical,0.8238,Resolved,0.0,INS-0014,2023-02-06T09:00:00,,TheftDetect-v3.0
ALT-000031,BSCM-000309,Marathahalli,2024-10-11 07:00:00,Overcurrent,Medium,0.697,Resolved,0.0,INS-0002,2024-10-13T01:00:00,Phase cut,TheftDetect-v2.1
ALT-000032,BSCM-000160,Marathahalli,2023-09-23 09:00:00,Communication Loss,Medium,0.8583,Open,0.0,,,,TheftDetect-v3.0
ALT-000033,BSCM-000432,Electronic City,2024-07-12 14:00:00,Meter Tamper,Low,0.6511,Resolved,0.0,INS-0009,2024-07-17T02:00:00,External surge,TheftDetect-v3.0
ALT-000034,BSCM-000003,Yelahanka,2023-04-13 19:00:00,Energy Theft,Critical,0.7853,Resolved,394.11,INS-0016,2023-04-17T02:00:00,,TheftDetect-v2.1
ALT-000035,BSCM-000448,Whitefield,2023-06-13 02:00:00,Voltage Sag,Low,0.9432,Resolved,0.0,INS-0015,2023-06-14T08:00:00,External surge,TheftDetect-v3.0
ALT-000036,BSCM-000190,Jayanagar,2023-06-28 17:00:00,PF Degradation,Low,0.8292,Resolved,0.0,INS-0001,2023-06-30T22:00:00,Phase cut,Ensemble-v1
ALT-000037,BSCM-000216,Electronic City,2024-10-24 03:00:00,Meter Tamper,High,0.6003,Resolved,0.0,INS-0012,2024-10-25T11:00:00,Line fault,TheftDetect-v2.1
ALT-000038,BSCM-000344,Whitefield,2024-05-01 14:00:00,Voltage Sag,High,0.7626,Resolved,0.0,INS-0008,2024-05-02T22:00:00,Rodent damage,TheftDetect-v2.1
ALT-000039,BSCM-000188,Rajajinagar,2023-08-15 22:00:00,Voltage Sag,Low,0.9522,Open,0.0,,,,Ensemble-v1
ALT-000040,BSCM-000156,Rajajinagar,2023-09-24 00:00:00,PF Degradation,High,0.7403,Resolved,0.0,INS-0012,2023-09-26T11:00:00,Faulty firmware,Ensemble-v1
ALT-000041,BSCM-000209,Hebbal,2024-02-11 23:00:00,PF Degradation,Low,0.7684,Resolved,0.0,INS-0019,2024-02-12T07:00:00,,Ensemble-v1
ALT-000042,BSCM-000281,Whitefield,2024-06-27 16:00:00,Communication Loss,Medium,0.6666,Investigating,0.0,INS-0001,,,TheftDetect-v3.0
ALT-000043,BSCM-000006,Rajajinagar,2024-04-13 12:00:00,Phase Imbalance,Medium,0.9899,Open,0.0,,,,TheftDetect-v3.0
ALT-000044,BSCM-000305,Yelahanka,2023-08-27 12:00:00,Phase Imbalance,Low,0.7789,Resolved,0.0,INS-0002,2023-08-31T07:00:00,Line fault,TheftDetect-v2.1
ALT-000045,BSCM-000478,Indiranagar,2023-01-13 14:00:00,Meter Tamper,Low,0.6721,Resolved,0.0,INS-0013,2023-01-16T07:00:00,Phase cut,Ensemble-v1
ALT-000046,BSCM-000096,Jayanagar,2024-09-05 21:00:00,Voltage Sag,High,0.6139,Investigating,0.0,INS-0008,,,TheftDetect-v2.1
ALT-000047,BSCM-000041,Electronic City,2024-05-12 20:00:00,Reverse Energy,Low,0.8736,Resolved,0.0,INS-0019,2024-05-16T04:00:00,Faulty firmware,TheftDetect-v3.0
ALT-000048,BSCM-000302,Rajajinagar,2023-01-05 04:00:00,Reverse Energy,Medium,0.8516,Open,0.0,,,,TheftDetect-v2.1
ALT-000049,BSCM-000025,Hebbal,2023-04-01 23:00:00,PF Degradation,Medium,0.7341,Resolved,0.0,INS-0010,2023-04-04T17:00:00,,Ensemble-v1
ALT-000050,BSCM-000039,Hebbal,2023-09-27 21:00:00,Overcurrent,High,0.8849,Investigating,0.0,INS-0008,,,TheftDetect-v3.0
ALT-000051,BSCM-000434,Yelahanka,2023-07-29 05:00:00,Reverse Energy,Medium,0.6935,Open,0.0,,,,Ensemble-v1
ALT-000052,BSCM-000176,Hebbal,2023-06-24 06:00:00,Phase Imbalance,Low,0.7295,False Positive,0.0,INS-0014,,,Ensemble-v1
ALT-000053,BSCM-000290,Whitefield,2024-08-15 01:00:00,Phase Imbalance,High,0.908,Open,0.0,,,,Ensemble-v1
ALT-000054,BSCM-000464,Indiranagar,2024-09-14 04:00:00,Communication Loss,High,0.7773,Investigating,0.0,INS-0013,,,TheftDetect-v3.0
ALT-000055,BSCM-000205,BTM Layout,2023-03-08 22:00:00,Reverse Energy,Low,0.9292,Resolved,0.0,INS-0007,2023-03-13T09:00:00,Meter bypass,TheftDetect-v3.0
ALT-000056,BSCM-000359,Hebbal,2023-10-04 13:00:00,Reverse Energy,Low,0.7234,Investigating,0.0,INS-0005,,,TheftDetect-v2.1
ALT-000057,BSCM-000148,Indiranagar,2024-01-30 01:00:00,Phase Imbalance,High,0.5721,Investigating,0.0,INS-0007,,,TheftDetect-v2.1
ALT-000058,BSCM-000397,Marathahalli,2024-11-26 03:00:00,Meter Tamper,Low,0.7718,Investigating,0.0,INS-0003,,,TheftDetect-v3.0
ALT-000059,BSCM-000208,Electronic City,2023-03-18 22:00:00,Reverse Energy,High,0.89,Resolved,0.0,INS-0007,2023-03-23T12:00:00,Faulty firmware,Ensemble-v1
ALT-000060,BSCM-000288,Jayanagar,2023-05-30 23:00:00,Voltage Sag,Critical,0.6466,False Positive,0.0,INS-0020,,,Ensemble-v1
ALT-000061,BSCM-000442,Electronic City,2024-03-27 15:00:00,Meter Tamper,High,0.6966,Resolved,0.0,INS-0010,2024-03-28T06:00:00,Meter bypass,TheftDetect-v2.1
ALT-000062,BSCM-000334,Rajajinagar,2023-04-28 16:00:00,Voltage Sag,Medium,0.9876,Resolved,0.0,INS-0020,2023-04-29T06:00:00,Phase cut,TheftDetect-v2.1
ALT-000063,BSCM-000225,Indiranagar,2023-04-01 00:00:00,PF Degradation,Low,0.9367,Open,0.0,,,,Ensemble-v1
ALT-000064,BSCM-000031,Koramangala,2024-10-25 18:00:00,Energy Theft,Medium,0.8978,Resolved,288.72,INS-0012,2024-10-26T11:00:00,External surge,Ensemble-v1
ALT-000065,BSCM-000495,Jayanagar,2023-06-27 05:00:00,Reverse Energy,High,0.9302,Investigating,0.0,INS-0008,,,Ensemble-v1
ALT-000066,BSCM-000073,Yelahanka,2024-06-07 20:00:00,Phase Imbalance,Medium,0.6227,Resolved,0.0,INS-0004,2024-06-11T16:00:00,External surge,Ensemble-v1
ALT-000067,BSCM-000493,Yelahanka,2024-09-13 06:00:00,Energy Theft,Medium,0.7562,False Positive,10.3,INS-0016,,,Ensemble-v1
ALT-000068,BSCM-000318,Whitefield,2024-12-19 03:00:00,Meter Tamper,Low,0.9727,Resolved,0.0,INS-0018,2024-12-20T05:00:00,Phase cut,TheftDetect-v3.0
ALT-000069,BSCM-000483,BTM Layout,2023-01-11 04:00:00,Meter Tamper,Medium,0.9752,Open,0.0,,,,TheftDetect-v3.0
ALT-000070,BSCM-000403,Electronic City,2023-10-02 06:00:00,Overcurrent,Low,0.7418,Open,0.0,,,,TheftDetect-v3.0
ALT-000071,BSCM-000111,Koramangala,2023-05-12 08:00:00,Energy Theft,Medium,0.9241,Investigating,61.58,INS-0008,,,TheftDetect-v2.1
ALT-000072,BSCM-000408,Marathahalli,2024-03-09 12:00:00,PF Degradation,Low,0.8509,Resolved,0.0,INS-0013,2024-03-12T02:00:00,Meter bypass,Ensemble-v1
ALT-000073,BSCM-000189,BTM Layout,2024-01-28 05:00:00,PF Degradation,Medium,0.9765,Resolved,0.0,INS-0018,2024-01-30T22:00:00,,TheftDetect-v3.0
ALT-000074,BSCM-000296,Jayanagar,2023-05-06 18:00:00,Phase Imbalance,Medium,0.9006,Investigating,0.0,INS-0020,,,Ensemble-v1
ALT-000075,BSCM-000235,Whitefield,2023-08-15 12:00:00,Voltage Sag,Critical,0.8121,Investigating,0.0,INS-0012,,,TheftDetect-v3.0
ALT-000076,BSCM-000139,BTM Layout,2023-03-02 03:00:00,PF Degradation,Medium,0.7106,Resolved,0.0,INS-0018,2023-03-04T04:00:00,Line fault,TheftDetect-v2.1
ALT-000077,BSCM-000203,Electronic City,2024-01-06 15:00:00,PF Degradation,Medium,0.7206,Open,0.0,,,,TheftDetect-v2.1
ALT-000078,BSCM-000196,Indiranagar,2024-05-14 05:00:00,Overcurrent,Critical,0.6099,Resolved,0.0,INS-0012,2024-05-16T20:00:00,Line fault,TheftDetect-v3.0
ALT-000079,BSCM-000027,Yelahanka,2023-04-17 05:00:00,Communication Loss,Low,0.8492,Investigating,0.0,INS-0016,,,TheftDetect-v2.1
ALT-000080,BSCM-000113,Yelahanka,2024-05-04 19:00:00,Overcurrent,High,0.7638,Resolved,0.0,INS-0001,2024-05-05T11:00:00,Line fault,TheftDetect-v2.1
ALT-000081,BSCM-000441,Whitefield,2023-02-20 20:00:00,Overcurrent,Medium,0.604,False Positive,0.0,INS-0005,,,TheftDetect-v3.0
ALT-000082,BSCM-000426,Koramangala,2024-05-28 16:00:00,PF Degradation,Medium,0.787,Open,0.0,,,,Ensemble-v1
ALT-000083,BSCM-000104,Whitefield,2023-08-26 11:00:00,Voltage Sag,Medium,0.7182,Open,0.0,,,,TheftDetect-v3.0
ALT-000084,BSCM-000098,Hebbal,2023-07-01 01:00:00,Voltage Sag,Low,0.833,Investigating,0.0,INS-0013,,,TheftDetect-v3.0
ALT-000085,BSCM-000230,Koramangala,2024-02-01 11:00:00,Phase Imbalance,Medium,0.836,Investigating,0.0,INS-0017,,,TheftDetect-v3.0
ALT-000086,BSCM-000277,Indiranagar,2024-05-26 08:00:00,Reverse Energy,Low,0.6109,Open,0.0,,,,TheftDetect-v3.0
ALT-000087,BSCM-000355,Indiranagar,2023-06-04 15:00:00,Reverse Energy,Medium,0.9162,Investigating,0.0,INS-0011,,,Ensemble-v1
ALT-000088,BSCM-000283,Koramangala,2024-10-27 12:00:00,Energy Theft,Medium,0.8848,Open,232.6,,,,TheftDetect-v3.0
ALT-000089,BSCM-000062,Marathahalli,2023-07-02 13:00:00,Phase Imbalance,Medium,0.8216,Resolved,0.0,INS-0008,2023-07-03T18:00:00,Line fault,TheftDetect-v3.0
ALT-000090,BSCM-000070,Whitefield,2024-07-18 07:00:00,PF Degradation,Low,0.616,False Positive,0.0,INS-0002,,,Ensemble-v1
ALT-000091,BSCM-000052,Hebbal,2023-02-02 02:00:00,Voltage Sag,Low,0.9263,Investigating,0.0,INS-0001,,,Ensemble-v1
ALT-000092,BSCM-000112,Jayanagar,2023-05-27 08:00:00,Energy Theft,Low,0.8033,Resolved,145.16,INS-0002,2023-05-30T13:00:00,Faulty firmware,TheftDetect-v2.1
ALT-000093,BSCM-000120,Rajajinagar,2024-01-11 18:00:00,Meter Tamper,Low,0.8824,Resolved,0.0,INS-0016,2024-01-11T23:00:00,,Ensemble-v1
ALT-000094,BSCM-000077,Hebbal,2023-01-12 07:00:00,Phase Imbalance,Medium,0.8512,Resolved,0.0,INS-0016,2023-01-14T11:00:00,Phase cut,TheftDetect-v3.0
ALT-000095,BSCM-000197,Indiranagar,2023-12-14 13:00:00,Meter Tamper,High,0.6033,Investigating,0.0,INS-0010,,,Ensemble-v1
ALT-000096,BSCM-000131,Koramangala,2024-05-13 05:00:00,Communication Loss,Medium,0.5516,Resolved,0.0,INS-0001,2024-05-13T15:00:00,Rodent damage,TheftDetect-v2.1
ALT-000097,BSCM-000191,Yelahanka,2023-09-29 03:00:00,Phase Imbalance,Medium,0.7598,Investigating,0.0,INS-0015,,,TheftDetect-v2.1
ALT-000098,BSCM-000100,BTM Layout,2024-08-05 05:00:00,Energy Theft,Low,0.8325,False Positive,477.28,INS-0013,,,Ensemble-v1
ALT-000099,BSCM-000091,Electronic City,2024-03-23 07:00:00,Meter Tamper,Low,0.5625,Open,0.0,,,,Ensemble-v1
ALT-000100,BSCM-000456,Whitefield,2023-08-16 05:00:00,PF Degradation,Critical,0.6691,Investigating,0.0,INS-0016,,,TheftDetect-v2.1
ALT-000101,BSCM-000340,Yelahanka,2023-11-03 18:00:00,Reverse Energy,Low,0.702,Resolved,0.0,INS-0010,2023-11-05T04:00:00,Line fault,Ensemble-v1
ALT-000102,BSCM-000428,Koramangala,2024-05-13 12:00:00,Meter Tamper,High,0.9828,Open,0.0,,,,TheftDetect-v3.0
ALT-000103,BSCM-000350,BTM Layout,2024-01-23 20:00:00,Energy Theft,Critical,0.6618,Resolved,246.58,INS-0014,2024-01-27T10:00:00,Rodent damage,Ensemble-v1
ALT-000104,BSCM-000283,Koramangala,2023-01-31 16:00:00,Communication Loss,Low,0.7249,Investigating,0.0,INS-0013,,,Ensemble-v1
ALT-000105,BSCM-000259,Jayanagar,2024-09-24 09:00:00,Phase Imbalance,Medium,0.9837,Resolved,0.0,INS-0008,2024-09-25T12:00:00,,TheftDetect-v3.0
ALT-000106,BSCM-000100,BTM Layout,2023-12-14 18:00:00,Meter Tamper,Medium,0.8982,Resolved,0.0,INS-0009,2023-12-15T09:00:00,Meter bypass,TheftDetect-v3.0
ALT-000107,BSCM-000465,Jayanagar,2023-01-03 19:00:00,Overcurrent,Low,0.6736,Open,0.0,,,,TheftDetect-v2.1
ALT-000108,BSCM-000029,Whitefield,2023-12-24 13:00:00,Voltage Sag,Medium,0.8638,Open,0.0,,,,TheftDetect-v2.1
ALT-000109,BSCM-000299,Hebbal,2023-10-10 20:00:00,Overcurrent,Medium,0.7878,Investigating,0.0,INS-0006,,,TheftDetect-v2.1
ALT-000110,BSCM-000350,BTM Layout,2023-02-06 21:00:00,Phase Imbalance,Medium,0.7556,Resolved,0.0,INS-0006,2023-02-09T10:00:00,Phase cut,TheftDetect-v2.1
ALT-000111,BSCM-000431,Jayanagar,2023-03-14 11:00:00,Overcurrent,High,0.6452,Resolved,0.0,INS-0008,2023-03-17T04:00:00,Faulty firmware,TheftDetect-v3.0
ALT-000112,BSCM-000488,Marathahalli,2023-02-16 03:00:00,Energy Theft,High,0.8987,Open,109.19,,,,Ensemble-v1
ALT-000113,BSCM-000086,Koramangala,2024-01-17 14:00:00,Overcurrent,Critical,0.9277,Resolved,0.0,INS-0020,2024-01-19T02:00:00,Line fault,TheftDetect-v3.0
ALT-000114,BSCM-000365,Rajajinagar,2024-07-21 00:00:00,Voltage Sag,High,0.7456,Investigating,0.0,INS-0010,,,TheftDetect-v2.1
ALT-000115,BSCM-000018,Marathahalli,2024-02-12 18:00:00,Communication Loss,Medium,0.9111,Open,0.0,,,,TheftDetect-v3.0
ALT-000116,BSCM-000057,Whitefield,2023-05-08 21:00:00,Reverse Energy,Low,0.8979,Resolved,0.0,INS-0004,2023-05-10T02:00:00,External surge,TheftDetect-v2.1
ALT-000117,BSCM-000331,Jayanagar,2024-06-13 21:00:00,Communication Loss,Low,0.5792,False Positive,0.0,INS-0008,,,TheftDetect-v2.1
ALT-000118,BSCM-000494,Marathahalli,2024-05-22 12:00:00,Meter Tamper,Critical,0.8138,Resolved,0.0,INS-0003,2024-05-27T00:00:00,Faulty firmware,Ensemble-v1
ALT-000119,BSCM-000069,Koramangala,2023-03-16 18:00:00,Overcurrent,Medium,0.8758,Investigating,0.0,INS-0009,,,Ensemble-v1
ALT-000120,BSCM-000209,Hebbal,2024-01-19 04:00:00,Energy Theft,Low,0.5915,False Positive,15.25,INS-0007,,,Ensemble-v1
ALT-000121,BSCM-000124,Jayanagar,2024-11-20 13:00:00,Energy Theft,Medium,0.6551,Resolved,269.93,INS-0001,2024-11-21T19:00:00,Phase cut,Ensemble-v1
ALT-000122,BSCM-000031,Koramangala,2023-09-25 21:00:00,Meter Tamper,Medium,0.7515,Resolved,0.0,INS-0018,2023-09-27T02:00:00,,TheftDetect-v3.0
ALT-000123,BSCM-000178,Marathahalli,2024-03-09 23:00:00,PF Degradation,Medium,0.6327,Investigating,0.0,INS-0007,,,TheftDetect-v2.1
ALT-000124,BSCM-000414,Yelahanka,2023-02-25 10:00:00,Reverse Energy,Medium,0.8875,Investigating,0.0,INS-0008,,,TheftDetect-v2.1
ALT-000125,BSCM-000218,Rajajinagar,2024-11-11 23:00:00,Energy Theft,High,0.5722,Investigating,44.91,INS-0011,,,TheftDetect-v3.0
ALT-000126,BSCM-000303,Yelahanka,2023-09-20 16:00:00,Energy Theft,Medium,0.7419,False Positive,475.33,INS-0010,,,TheftDetect-v2.1
ALT-000127,BSCM-000043,Hebbal,2023-02-21 16:00:00,Energy Theft,Low,0.8251,Open,320.34,,,,TheftDetect-v3.0
ALT-000128,BSCM-000291,Indiranagar,2023-04-07 11:00:00,PF Degradation,Low,0.8117,Open,0.0,,,,TheftDetect-v3.0
ALT-000129,BSCM-000291,Indiranagar,2023-02-02 23:00:00,Voltage Sag,High,0.7051,Resolved,0.0,INS-0013,2023-02-06T00:00:00,Line fault,Ensemble-v1
ALT-000130,BSCM-000037,Electronic City,2024-11-12 10:00:00,Energy Theft,Low,0.7269,Resolved,207.44,INS-0018,2024-11-15T02:00:00,,TheftDetect-v2.1
ALT-000131,BSCM-000118,Rajajinagar,2024-09-02 07:00:00,PF Degradation,Low,0.8754,Resolved,0.0,INS-0015,2024-09-05T10:00:00,Faulty firmware,TheftDetect-v2.1
ALT-000132,BSCM-000150,BTM Layout,2023-04-03 14:00:00,Meter Tamper,Medium,0.7903,Resolved,0.0,INS-0008,2023-04-07T13:00:00,Faulty firmware,TheftDetect-v2.1
ALT-000133,BSCM-000027,Yelahanka,2024-10-01 10:00:00,Voltage Sag,Low,0.7393,Resolved,0.0,INS-0019,2024-10-01T19:00:00,,TheftDetect-v2.1
ALT-000134,BSCM-000169,Koramangala,2023-03-10 17:00:00,Communication Loss,Critical,0.6922,Investigating,0.0,INS-0016,,,Ensemble-v1
ALT-000135,BSCM-000037,Electronic City,2024-01-30 08:00:00,Phase Imbalance,High,0.7056,Resolved,0.0,INS-0009,2024-01-31T07:00:00,Meter bypass,Ensemble-v1
ALT-000136,BSCM-000158,Electronic City,2023-08-08 16:00:00,Voltage Sag,High,0.6849,False Positive,0.0,INS-0004,,,TheftDetect-v3.0
ALT-000137,BSCM-000079,Jayanagar,2023-11-21 20:00:00,Meter Tamper,Low,0.7764,Resolved,0.0,INS-0004,2023-11-24T17:00:00,Meter bypass,Ensemble-v1
ALT-000138,BSCM-000303,Yelahanka,2023-04-15 02:00:00,Communication Loss,Critical,0.6627,Resolved,0.0,INS-0016,2023-04-17T17:00:00,Phase cut,Ensemble-v1
ALT-000139,BSCM-000119,Indiranagar,2024-04-28 00:00:00,Phase Imbalance,Low,0.6357,Resolved,0.0,INS-0003,2024-04-28T11:00:00,Meter bypass,Ensemble-v1
ALT-000140,BSCM-000211,Whitefield,2024-01-16 00:00:00,Overcurrent,Medium,0.8797,Investigating,0.0,INS-0005,,,TheftDetect-v3.0
ALT-000141,BSCM-000390,BTM Layout,2023-11-25 03:00:00,Phase Imbalance,Medium,0.7725,Investigating,0.0,INS-0016,,,TheftDetect-v2.1
ALT-000142,BSCM-000364,Rajajinagar,2024-04-18 08:00:00,Overcurrent,Low,0.9296,False Positive,0.0,INS-0015,,,TheftDetect-v2.1
ALT-000143,BSCM-000483,BTM Layout,2024-08-21 00:00:00,Phase Imbalance,Medium,0.9616,Investigating,0.0,INS-0020,,,TheftDetect-v2.1
ALT-000144,BSCM-000049,BTM Layout,2023-06-25 00:00:00,Reverse Energy,Medium,0.9164,Investigating,0.0,INS-0003,,,TheftDetect-v2.1
ALT-000145,BSCM-000491,Indiranagar,2024-01-07 11:00:00,Overcurrent,Low,0.9706,Resolved,0.0,INS-0012,2024-01-12T08:00:00,Meter bypass,TheftDetect-v3.0
ALT-000146,BSCM-000430,Whitefield,2023-09-06 20:00:00,Reverse Energy,Critical,0.607,Open,0.0,,,,Ensemble-v1
ALT-000147,BSCM-000360,Rajajinagar,2023-12-14 19:00:00,Phase Imbalance,Critical,0.823,Investigating,0.0,INS-0004,,,TheftDetect-v3.0
ALT-000148,BSCM-000442,Electronic City,2023-10-21 14:00:00,Communication Loss,Critical,0.6952,Investigating,0.0,INS-0009,,,TheftDetect-v2.1
ALT-000149,BSCM-000005,Hebbal,2023-01-22 06:00:00,Voltage Sag,High,0.7168,Resolved,0.0,INS-0013,2023-01-24T04:00:00,Meter bypass,TheftDetect-v2.1
ALT-000150,BSCM-000374,Marathahalli,2023-09-15 23:00:00,Meter Tamper,Low,0.9158,Open,0.0,,,,TheftDetect-v3.0
ALT-000151,BSCM-000009,Koramangala,2024-10-25 07:00:00,Meter Tamper,Medium,0.7339,False Positive,0.0,INS-0007,,,TheftDetect-v2.1
ALT-000152,BSCM-000417,Yelahanka,2023-12-13 05:00:00,Energy Theft,Critical,0.8773,Resolved,83.81,INS-0004,2023-12-16T08:00:00,Meter bypass,TheftDetect-v3.0
ALT-000153,BSCM-000498,Indiranagar,2023-03-03 16:00:00,Communication Loss,Low,0.7978,False Positive,0.0,INS-0016,,,TheftDetect-v3.0
ALT-000154,BSCM-000110,Hebbal,2023-02-07 08:00:00,Meter Tamper,Medium,0.5981,Resolved,0.0,INS-0016,2023-02-11T01:00:00,Phase cut,Ensemble-v1
ALT-000155,BSCM-000263,Indiranagar,2023-06-04 09:00:00,Overcurrent,Medium,0.651,Resolved,0.0,INS-0018,2023-06-05T05:00:00,External surge,Ensemble-v1
ALT-000156,BSCM-000274,Yelahanka,2024-08-24 05:00:00,PF Degradation,Low,0.5656,Open,0.0,,,,TheftDetect-v3.0
ALT-000157,BSCM-000249,Jayanagar,2024-09-01 03:00:00,Reverse Energy,Medium,0.954,Open,0.0,,,,Ensemble-v1
ALT-000158,BSCM-000112,Jayanagar,2024-10-19 20:00:00,PF Degradation,Medium,0.5827,False Positive,0.0,INS-0017,,,Ensemble-v1
ALT-000159,BSCM-000044,Marathahalli,2023-11-29 02:00:00,Reverse Energy,Low,0.6196,Investigating,0.0,INS-0011,,,Ensemble-v1
ALT-000160,BSCM-000308,Indiranagar,2024-08-21 07:00:00,Overcurrent,Medium,0.9363,Investigating,0.0,INS-0009,,,TheftDetect-v2.1
ALT-000161,BSCM-000294,Yelahanka,2023-03-06 01:00:00,PF Degradation,Medium,0.7394,Open,0.0,,,,TheftDetect-v2.1
ALT-000162,BSCM-000175,Marathahalli,2024-03-10 21:00:00,Phase Imbalance,Medium,0.6719,False Positive,0.0,INS-0009,,,TheftDetect-v3.0
ALT-000163,BSCM-000001,Electronic City,2023-09-17 14:00:00,Communication Loss,Medium,0.9821,Resolved,0.0,INS-0002,2023-09-22T13:00:00,,TheftDetect-v2.1
ALT-000164,BSCM-000402,Rajajinagar,2023-03-20 05:00:00,Meter Tamper,Medium,0.6407,False Positive,0.0,INS-0012,,,TheftDetect-v3.0
ALT-000165,BSCM-000224,Jayanagar,2024-07-23 07:00:00,Voltage Sag,Medium,0.6347,Open,0.0,,,,TheftDetect-v2.1
ALT-000166,BSCM-000255,BTM Layout,2024-10-12 22:00:00,PF Degradation,Medium,0.9229,Resolved,0.0,INS-0012,2024-10-16T06:00:00,External surge,TheftDetect-v2.1
