dq_id,meter_id,zone,date,expected_readings,received_readings,missing_readings,completeness_pct,null_values,out_of_range_values,duplicate_readings,avg_latency_ms,comms_failures,quality_score
DQ-0000022,BSCM-000001,Electronic City,2023-01-07,24,23,1,95.83,1,2,0,1064.7,0,0.9065
DQ-0000023,BSCM-000001,Electronic City,2024-08-18,24,24,0,100.0,0,0,0,2227.3,0,0.9252
DQ-0000024,BSCM-000001,Electronic City,2023-11-12,24,23,1,95.83,1,0,0,801.7,2,0.8576
DQ-0000025,BSCM-000001,Electronic City,2024-03-25,24,24,0,100.0,0,2,0,1732.5,5,0.9433
DQ-0000026,BSCM-000001,Electronic City,2024-10-28,24,24,0,100.0,0,2,0,251.4,5,0.9434
DQ-0000027,BSCM-000001,Electronic City,2024-09-23,24,24,0,100.0,0,1,0,277.6,5,0.8886
DQ-0000028,BSCM-000001,Electronic City,2024-12-05,24,24,0,100.0,0,0,0,217.3,5,0.9574
DQ-0000029,BSCM-000001,Electronic City,2024-02-29,24,24,0,100.0,0,0,0,51.1,4,0.9104
DQ-0000030,BSCM-000001,Electronic City,2024-11-20,24,23,1,95.83,0,2,0,780.8,0,0.834
DQ-0000031,BSCM-000002,Whitefield,2023-03-11,24,24,0,100.0,0,0,0,2388.7,3,0.9426
DQ-0000032,BSCM-000002,Whitefield,2024-10-04,24,24,0,100.0,0,0,0,583.5,5,0.9828
DQ-0000033,BSCM-000002,Whitefield,2024-02-06,24,24,0,100.0,0,1,0,1689.6,3,0.9819
DQ-0000034,BSCM-000002,Whitefield,2023-01-12,24,24,0,100.0,0,2,0,1983.1,1,0.9013
DQ-0000035,BSCM-000002,Whitefield,2024-09-22,24,24,0,100.0,0,1,0,516.8,5,0.9188
DQ-0000036,BSCM-000002,Whitefield,2023-10-05,24,24,0,100.0,0,2,0,2449.2,3,0.8646
DQ-0000037,BSCM-000002,Whitefield,2024-12-24,24,23,1,95.83,0,1,0,2000.2,5,0.8708
DQ-0000038,BSCM-000002,Whitefield,2023-07-11,24,24,0,100.0,0,2,0,2293.5,5,0.8638
DQ-0000039,BSCM-000002,Whitefield,2023-09-16,24,20,4,83.33,2,0,0,65.2,0,0.929
DQ-0000040,BSCM-000002,Whitefield,2023-08-22,24,24,0,100.0,0,1,0,2112.8,1,0.8179
DQ-0000041,BSCM-000002,Whitefield,2024-10-06,24,24,0,100.0,0,1,0,1599.1,5,0.9772
DQ-0000042,BSCM-000002,Whitefield,2023-05-10,24,24,0,100.0,0,2,0,1089.2,0,0.9897
DQ-0000043,BSCM-000002,Whitefield,2024-07-08,24,22,2,91.67,2,2,0,1150.2,3,0.9519
DQ-0000044,BSCM-000002,Whitefield,2024-08-20,24,24,0,100.0,0,0,1,122.9,3,0.9218
DQ-0000045,BSCM-000002,Whitefield,2023-11-13,24,24,0,100.0,0,1,0,1550.9,5,0.9017
DQ-0000046,BSCM-000002,Whitefield,2023-06-02,24,24,0,100.0,0,2,0,990.6,0,0.8087
DQ-0000047,BSCM-000002,Whitefield,2024-09-27,24,24,0,100.0,0,1,0,1365.7,5,0.9088
DQ-0000048,BSCM-000002,Whitefield,2023-05-24,24,24,0,100.0,0,1,0,176.4,5,0.8857
DQ-0000049,BSCM-000002,Whitefield,2024-06-21,24,24,0,100.0,0,1,0,612.8,1,0.9682
DQ-0000050,BSCM-000002,Whitefield,2023-08-29,24,24,0,100.0,0,2,0,297.2,3,0.9914
DQ-0000051,BSCM-000002,Whitefield,2024-04-21,24,24,0,100.0,0,2,0,2099.2,2,0.9869
DQ-0000052,BSCM-000002,Whitefield,2023-01-07,24,24,0,100.0,0,1,0,2258.8,0,0.9434
DQ-0000053,BSCM-000002,Whitefield,2024-08-18,24,24,0,100.0,0,2,0,2113.1,2,0.8751
DQ-0000054,BSCM-000002,Whitefield,2023-11-12,24,24,0,100.0,0,2,0,2465.5,5,0.9483
DQ-0000055,BSCM-000002,Whitefield,2024-03-25,24,24,0,100.0,0,2,0,2243.5,5,0.9216
DQ-0000056,BSCM-000002,Whitefield,2024-10-28,24,21,3,87.5,3,0,0,2126.3,1,0.9892
DQ-0000057,BSCM-000002,Whitefield,2024-09-23,24,22,2,91.67,2,2,0,701.5,3,0.9857
DQ-0000058,BSCM-000002,Whitefield,2024-12-05,24,24,0,100.0,0,1,0,2456.6,4,0.9133
DQ-0000059,BSCM-000002,Whitefield,2024-02-29,24,24,0,100.0,0,0,0,445.5,1,0.9394
DQ-0000060,BSCM-000002,Whitefield,2024-11-20,24,24,0,100.0,0,0,0,1572.3,3,0.8349
DQ-0000061,BSCM-000003,Yelahanka,2023-03-11,24,24,0,100.0,0,1,0,2229.9,5,0.9329
DQ-0000062,BSCM-000003,Yelahanka,2024-10-04,24,24,0,100.0,0,1,0,301.9,5,0.9147
DQ-0000063,BSCM-000003,Yelahanka,2024-02-06,24,24,0,100.0,0,2,0,1919.9,4,0.8547
DQ-0000064,BSCM-000003,Yelahanka,2023-01-12,24,24,0,100.0,0,2,0,1658.0,1,0.9541
DQ-0000065,BSCM-000003,Yelahanka,2024-09-22,24,20,4,83.33,3,2,0,263.5,3,0.8251
DQ-0000066,BSCM-000003,Yelahanka,2023-10-05,24,24,0,100.0,0,0,0,1554.2,3,0.9205
DQ-0000067,BSCM-000003,Yelahanka,2024-12-24,24,24,0,100.0,0,1,0,462.1,3,0.98
DQ-0000068,BSCM-000003,Yelahanka,2023-07-11,24,24,0,100.0,0,1,0,1951.5,0,0.963
DQ-0000069,BSCM-000003,Yelahanka,2023-09-16,24,24,0,100.0,0,0,0,1959.9,2,0.8822
DQ-0000070,BSCM-000003,Yelahanka,2023-08-22,24,21,3,87.5,3,2,0,885.5,1,0.8175
DQ-0000071,BSCM-000003,Yelahanka,2024-10-06,24,24,0,100.0,0,2,0,995.6,0,0.8203
DQ-0000072,BSCM-000003,Yelahanka,2023-05-10,24,24,0,100.0,0,2,0,1992.8,5,0.9135
DQ-0000073,BSCM-000003,Yelahanka,2024-07-08,24,24,0,100.0,0,2,0,929.3,0,0.8475
DQ-0000074,BSCM-000003,Yelahanka,2024-08-20,24,21,3,87.5,0,2,0,2348.0,5,0.8185
DQ-0000075,BSCM-000003,Yelahanka,2023-11-13,24,24,0,100.0,0,2,0,1543.8,4,0.8981
DQ-0000076,BSCM-000003,Yelahanka,2023-06-02,24,24,0,100.0,0,1,0,2408.0,4,0.8859
DQ-0000077,BSCM-000003,Yelahanka,2024-09-27,24,24,0,100.0,0,0,0,125.3,1,0.8564
DQ-0000078,BSCM-000003,Yelahanka,2023-05-24,24,24,0,100.0,0,1,0,1375.5,1,0.8797
DQ-0000079,BSCM-000003,Yelahanka,2024-06-21,24,24,0,100.0,0,2,0,815.5,4,0.8415
DQ-0000080,BSCM-000003,Yelahanka,2023-08-29,24,23,1,95.83,1,0,0,355.8,2,0.8382
DQ-0000081,BSCM-000003,Yelahanka,2024-04-21,24,24,0,100.0,0,1,0,723.9,0,0.8249
DQ-0000082,BSCM-000003,Yelahanka,2023-01-07,24,24,0,100.0,0,2,0,1967.3,4,0.9497
DQ-0000083,BSCM-000003,Yelahanka,2024-08-18,24,23,1,95.83,0,1,0,1277.2,5,0.989
DQ-0000084,BSCM-000003,Yelahanka,2023-11-12,24,24,0,100.0,0,1,0,1173.1,2,0.948
DQ-0000085,BSCM-000003,Yelahanka,2024-03-25,24,23,1,95.83,0,0,0,965.6,3,0.8275
DQ-0000086,BSCM-000003,Yelahanka,2024-10-28,24,24,0,100.0,0,0,0,1580.2,5,0.8016
DQ-0000087,BSCM-000003,Yelahanka,2024-09-23,24,24,0,100.0,0,0,0,1332.0,4,0.8695
DQ-0000088,BSCM-000003,Yelahanka,2024-12-05,24,24,0,100.0,0,0,0,609.8,2,0.8497
DQ-0000089,BSCM-000003,Yelahanka,2024-02-29,24,22,2,91.67,0,1,0,1556.9,4,0.9429
DQ-0000090,BSCM-000003,Yelahanka,2024-11-20,24,24,0,100.0,0,1,0,2436.4,4,0.9949
DQ-0000091,BSCM-000004,Whitefield,2023-03-11,24,20,4,83.33,3,2,0,1544.3,2,0.9798
DQ-0000092,BSCM-000004,Whitefield,2024-10-04,24,18,6,75.0,0,1,0,213.7,2,0.6032
DQ-0000093,BSCM-000004,Whitefield,2024-02-06,24,24,0,100.0,0,2,0,1245.4,4,0.8897
DQ-0000094,BSCM-000004,Whitefield,2023-01-12,24,23,1,95.83,0,1,0,314.4,5,0.9499
DQ-0000095,BSCM-000004,Whitefield,2024-09-22,24,24,0,100.0,0,1,0,2291.8,1,0.975
DQ-0000096,BSCM-000004,Whitefield,2023-10-05,24,22,2,91.67,2,1,0,2301.9,1,0.8662
DQ-0000097,BSCM-000004,Whitefield,2024-12-24,24,24,0,100.0,0,0,0,1716.6,2,0.8787
DQ-0000098,BSCM-000004,Whitefield,2023-07-11,24,20,4,83.33,1,0,0,1641.8,2,0.8898
DQ-0000099,BSCM-000004,Whitefield,2023-09-16,24,24,0,100.0,0,1,0,1197.4,2,0.9087
DQ-0000100,BSCM-000004,Whitefield,2023-08-22,24,22,2,91.67,0,1,0,839.0,5,0.8382
DQ-0000101,BSCM-000004,Whitefield,2024-10-06,24,20,4,83.33,4,0,0,2151.0,5,0.8525
DQ-0000102,BSCM-000004,Whitefield,2023-05-10,24,24,0,100.0,0,0,0,198.9,3,0.8975
DQ-0000103,BSCM-000004,Whitefield,2024-07-08,24,24,0,100.0,0,1,0,1035.5,3,0.9071
DQ-0000104,BSCM-000004,Whitefield,2024-08-20,24,24,0,100.0,0,1,0,2128.8,0,0.9804
DQ-0000105,BSCM-000004,Whitefield,2023-11-13,24,24,0,100.0,0,1,0,959.5,5,0.9974
DQ-0000106,BSCM-000004,Whitefield,2023-06-02,24,24,0,100.0,0,2,0,1381.6,0,0.9397
DQ-0000107,BSCM-000004,Whitefield,2024-09-27,24,24,0,100.0,0,0,0,2289.0,0,0.8965
DQ-0000108,BSCM-000004,Whitefield,2023-05-24,24,24,0,100.0,0,1,0,2435.1,5,0.8113
DQ-0000109,BSCM-000004,Whitefield,2024-06-21,24,24,0,100.0,0,0,0,2137.9,5,0.8932
DQ-0000110,BSCM-000004,Whitefield,2023-08-29,24,24,0,100.0,0,1,0,1493.8,3,0.818
DQ-0000111,BSCM-000004,Whitefield,2024-04-21,24,24,0,100.0,0,2,0,2395.8,0,0.8514
DQ-0000112,BSCM-000004,Whitefield,2023-01-07,24,22,2,91.67,0,1,0,504.0,4,0.9823
DQ-0000113,BSCM-000004,Whitefield,2024-08-18,24,18,6,75.0,2,2,0,2444.8,5,0.9568
DQ-0000114,BSCM-000004,Whitefield,2023-11-12,24,23,1,95.83,0,2,0,1282.5,4,0.9496
DQ-0000115,BSCM-000004,Whitefield,2024-03-25,24,23,1,95.83,1,1,0,888.3,2,0.9189
DQ-0000116,BSCM-000004,Whitefield,2024-10-28,24,24,0,100.0,0,0,0,1106.8,4,0.9072
DQ-0000117,BSCM-000004,Whitefield,2024-09-23,24,24,0,100.0,0,2,0,440.8,2,0.8931
DQ-0000118,BSCM-000004,Whitefield,2024-12-05,24,22,2,91.67,1,1,0,1033.8,1,0.8046
DQ-0000119,BSCM-000004,Whitefield,2024-02-29,24,20,4,83.33,3,2,0,1474.3,4,0.9229
DQ-0000120,BSCM-000004,Whitefield,2024-11-20,24,24,0,100.0,0,1,0,2431.7,0,0.9943
DQ-0000121,BSCM-000005,Hebbal,2023-03-11,24,24,0,100.0,0,1,0,1848.0,0,0.9982
DQ-0000122,BSCM-000005,Hebbal,2024-10-04,24,18,6,75.0,2,0,0,2251.1,0,0.707
DQ-0000123,BSCM-000005,Hebbal,2024-02-06,24,21,3,87.5,3,0,0,1594.3,0,0.8628
DQ-0000124,BSCM-000005,Hebbal,2023-01-12,24,18,6,75.0,3,0,0,1446.0,3,0.8151
DQ-0000125,BSCM-000005,Hebbal,2024-09-22,24,24,0,100.0,0,1,0,156.4,4,0.8024
DQ-0000126,BSCM-000005,Hebbal,2023-10-05,24,24,0,100.0,0,1,0,377.6,4,0.8937
DQ-0000127,BSCM-000005,Hebbal,2024-12-24,24,24,0,100.0,0,1,0,761.5,3,0.9741
DQ-0000128,BSCM-000005,Hebbal,2023-07-11,24,24,0,100.0,0,1,0,847.2,5,0.9084
DQ-0000129,BSCM-000005,Hebbal,2023-09-16,24,24,0,100.0,0,1,0,1571.3,5,0.8686
DQ-0000130,BSCM-000005,Hebbal,2023-08-22,24,21,3,87.5,2,2,0,1672.6,4,0.9722
DQ-0000131,BSCM-000005,Hebbal,2024-10-06,24,12,12,50.0,1,2,1,72.4,1,0.8617
DQ-0000132,BSCM-000005,Hebbal,2023-05-10,24,21,3,87.5,3,1,0,1314.4,1,0.8755
DQ-0000133,BSCM-000005,Hebbal,2024-07-08,24,24,0,100.0,0,2,0,1963.7,1,0.8077
DQ-0000134,BSCM-000005,Hebbal,2024-08-20,24,24,0,100.0,0,1,0,2311.3,3,0.9549
DQ-0000135,BSCM-000005,Hebbal,2023-11-13,24,24,0,100.0,0,2,0,1227.9,2,0.9925
DQ-0000136,BSCM-000005,Hebbal,2023-06-02,24,21,3,87.5,0,1,0,1333.2,5,0.9258
DQ-0000137,BSCM-000005,Hebbal,2024-09-27,24,24,0,100.0,0,0,0,1192.3,4,0.989
DQ-0000138,BSCM-000005,Hebbal,2023-05-24,24,24,0,100.0,0,0,0,1240.3,0,0.9799
DQ-0000139,BSCM-000005,Hebbal,2024-06-21,24,24,0,100.0,0,0,0,1673.9,0,0.8697
DQ-0000140,BSCM-000005,Hebbal,2023-08-29,24,24,0,100.0,0,0,0,2409.4,3,0.8614
DQ-0000141,BSCM-000005,Hebbal,2024-04-21,24,24,0,100.0,0,2,0,117.1,4,0.828
DQ-0000142,BSCM-000005,Hebbal,2023-01-07,24,23,1,95.83,0,1,0,1550.9,5,0.951
DQ-0000143,BSCM-000005,Hebbal,2024-08-18,24,24,0,100.0,0,1,0,703.1,5,0.8912
DQ-0000144,BSCM-000005,Hebbal,2023-11-12,24,24,0,100.0,0,0,0,318.8,0,0.9726
DQ-0000145,BSCM-000005,Hebbal,2024-03-25,24,24,0,100.0,0,0,0,101.4,5,0.9906
DQ-0000146,BSCM-000005,Hebbal,2024-10-28,24,24,0,100.0,0,1,0,1324.9,4,0.8226
DQ-0000147,BSCM-000005,Hebbal,2024-09-23,24,22,2,91.67,0,2,0,425.7,1,0.9033
DQ-0000148,BSCM-000005,Hebbal,2024-12-05,24,22,2,91.67,0,1,0,442.0,0,0.9042
DQ-0000149,BSCM-000005,Hebbal,2024-02-29,24,24,0,100.0,0,1,0,716.2,0,0.9921
DQ-0000150,BSCM-000005,Hebbal,2024-11-20,24,23,1,95.83,1,0,0,434.8,2,0.9118
DQ-0000151,BSCM-000006,Rajajinagar,2023-03-11,24,24,0,100.0,0,0,0,416.4,0,0.8698
DQ-0000152,BSCM-000006,Rajajinagar,2024-10-04,24,18,6,75.0,0,2,0,1529.4,5,0.9241
DQ-0000153,BSCM-000006,Rajajinagar,2024-02-06,24,24,0,100.0,0,2,0,2313.3,2,0.8108
DQ-0000154,BSCM-000006,Rajajinagar,2023-01-12,24,24,0,100.0,0,2,0,1237.7,0,0.8252
DQ-0000155,BSCM-000006,Rajajinagar,2024-09-22,24,24,0,100.0,0,0,0,1275.0,0,0.9777
DQ-0000156,BSCM-000006,Rajajinagar,2023-10-05,24,24,0,100.0,0,2,0,1248.5,1,0.8472
DQ-0000157,BSCM-000006,Rajajinagar,2024-12-24,24,24,0,100.0,0,2,0,2117.7,3,0.9787
DQ-0000158,BSCM-000006,Rajajinagar,2023-07-11,24,22,2,91.67,2,2,0,1895.7,2,0.8968
DQ-0000159,BSCM-000006,Rajajinagar,2023-09-16,24,23,1,95.83,1,1,0,2044.3,0,0.9658
DQ-0000160,BSCM-000006,Rajajinagar,2023-08-22,24,24,0,100.0,0,1,0,2203.0,3,0.9724
DQ-0000161,BSCM-000006,Rajajinagar,2024-10-06,24,23,1,95.83,1,0,0,665.4,4,0.845
DQ-0000162,BSCM-000006,Rajajinagar,2023-05-10,24,24,0,100.0,0,0,0,98.4,4,0.8194
DQ-0000163,BSCM-000006,Rajajinagar,2024-07-08,24,24,0,100.0,0,1,0,2398.1,0,0.8008
DQ-0000164,BSCM-000006,Rajajinagar,2024-08-20,24,24,0,100.0,0,0,0,1749.8,0,0.9403
DQ-0000165,BSCM-000006,Rajajinagar,2023-11-13,24,24,0,100.0,0,2,1,2465.2,0,0.9754
DQ-0000166,BSCM-000006,Rajajinagar,2023-06-02,24,23,1,95.83,0,1,0,798.7,1,0.8392
DQ-0000167,BSCM-000006,Rajajinagar,2024-09-27,24,22,2,91.67,0,1,1,1100.1,3,0.959
DQ-0000168,BSCM-000006,Rajajinagar,2023-05-24,24,24,0,100.0,0,2,0,1031.8,3,0.8576
DQ-0000169,BSCM-000006,Rajajinagar,2024-06-21,24,20,4,83.33,0,0,0,2481.7,4,0.8768
DQ-0000170,BSCM-000006,Rajajinagar,2023-08-29,24,23,1,95.83,1,0,0,2184.4,4,0.9705
DQ-0000171,BSCM-000006,Rajajinagar,2024-04-21,24,24,0,100.0,0,2,0,1069.4,0,0.8115
DQ-0000172,BSCM-000006,Rajajinagar,2023-01-07,24,24,0,100.0,0,1,1,144.4,4,0.9145
DQ-0000173,BSCM-000006,Rajajinagar,2024-08-18,24,24,0,100.0,0,0,0,111.1,5,0.9615
DQ-0000174,BSCM-000006,Rajajinagar,2023-11-12,24,24,0,100.0,0,0,0,1118.8,0,0.9848
DQ-0000175,BSCM-000006,Rajajinagar,2024-03-25,24,20,4,83.33,4,1,0,1616.4,2,0.8954
DQ-0000176,BSCM-000006,Rajajinagar,2024-10-28,24,24,0,100.0,0,2,0,259.5,3,0.9643
DQ-0000177,BSCM-000006,Rajajinagar,2024-09-23,24,24,0,100.0,0,2,0,834.1,2,0.8349
DQ-0000178,BSCM-000006,Rajajinagar,2024-12-05,24,24,0,100.0,0,1,0,1138.2,1,0.9559
DQ-0000179,BSCM-000006,Rajajinagar,2024-02-29,24,24,0,100.0,0,0,0,1592.8,0,0.9482
DQ-0000180,BSCM-000006,Rajajinagar,2024-11-20,24,24,0,100.0,0,0,0,123.3,1,0.8981
DQ-0000181,BSCM-000007,Jayanagar,2023-03-11,24,24,0,100.0,0,1,0,1417.9,4,0.9997
DQ-0000182,BSCM-000007,Jayanagar,2024-10-04,24,24,0,100.0,0,2,0,1890.3,1,0.9083
DQ-0000183,BSCM-000007,Jayanagar,2024-02-06,24,24,0,100.0,0,0,0,1515.1,1,0.9663
DQ-0000184,BSCM-000007,Jayanagar,2023-01-12,24,24,0,100.0,0,0,0,150.3,5,0.8585
DQ-0000185,BSCM-000007,Jayanagar,2024-09-22,24,24,0,100.0,0,0,0,1599.5,2,0.8811
DQ-0000186,BSCM-000007,Jayanagar,2023-10-05,24,24,0,100.0,0,0,0,1895.5,2,0.9464
DQ-0000187,BSCM-000007,Jayanagar,2024-12-24,24,23,1,95.83,1,0,0,832.9,5,0.8498
DQ-0000188,BSCM-000007,Jayanagar,2023-07-11,24,20,4,83.33,4,1,0,1845.4,0,0.9508
DQ-0000189,BSCM-000007,Jayanagar,2023-09-16,24,24,0,100.0,0,2,0,853.2,1,0.9709
DQ-0000190,BSCM-000007,Jayanagar,2023-08-22,24,24,0,100.0,0,1,0,306.1,5,0.9324
DQ-0000191,BSCM-000007,Jayanagar,2024-10-06,24,18,6,75.0,3,0,0,670.4,1,0.6702
DQ-0000192,BSCM-000007,Jayanagar,2023-05-10,24,24,0,100.0,0,1,0,2330.4,2,0.8677
DQ-0000193,BSCM-000007,Jayanagar,2024-07-08,24,24,0,100.0,0,2,0,1510.0,2,0.9827
DQ-0000194,BSCM-000007,Jayanagar,2024-08-20,24,24,0,100.0,0,1,0,2001.7,1,0.8915
DQ-0000195,BSCM-000007,Jayanagar,2023-11-13,24,24,0,100.0,0,1,0,1853.8,4,0.8847
DQ-0000196,BSCM-000007,Jayanagar,2023-06-02,24,22,2,91.67,1,2,0,1757.6,4,0.865
DQ-0000197,BSCM-000007,Jayanagar,2024-09-27,24,22,2,91.67,2,0,0,1494.3,0,0.9668
DQ-0000198,BSCM-000007,Jayanagar,2023-05-24,24,24,0,100.0,0,2,0,435.6,4,0.9018
DQ-0000199,BSCM-000007,Jayanagar,2024-06-21,24,24,0,100.0,0,1,0,1432.8,5,0.9948
DQ-0000200,BSCM-000007,Jayanagar,2023-08-29,24,18,6,75.0,2,1,0,1324.6,4,0.617
DQ-0000201,BSCM-000007,Jayanagar,2024-04-21,24,24,0,100.0,0,2,0,2359.8,1,0.8405
DQ-0000202,BSCM-000007,Jayanagar,2023-01-07,24,24,0,100.0,0,0,0,1290.9,0,0.8159
DQ-0000203,BSCM-000007,Jayanagar,2024-08-18,24,24,0,100.0,0,0,0,2212.7,5,0.9151
DQ-0000204,BSCM-000007,Jayanagar,2023-11-12,24,22,2,91.67,0,0,0,2211.6,2,0.9608
DQ-0000205,BSCM-000007,Jayanagar,2024-03-25,24,24,0,100.0,0,2,0,1844.4,5,0.9943
DQ-0000206,BSCM-000007,Jayanagar,2024-10-28,24,21,3,87.5,2,1,0,2108.7,1,0.8451
DQ-0000207,BSCM-000007,Jayanagar,2024-09-23,24,24,0,100.0,0,0,0,2197.4,5,0.936
DQ-0000208,BSCM-000007,Jayanagar,2024-12-05,24,24,0,100.0,0,0,0,960.2,5,0.9756
DQ-0000209,BSCM-000007,Jayanagar,2024-02-29,24,24,0,100.0,0,1,0,1774.3,2,0.9964
DQ-0000210,BSCM-000007,Jayanagar,2024-11-20,24,22,2,91.67,2,2,0,58.5,1,0.8836
DQ-0000211,BSCM-000008,Electronic City,2023-03-11,24,24,0,100.0,0,0,0,1655.6,4,0.9533
DQ-0000212,BSCM-000008,Electronic City,2024-10-04,24,24,0,100.0,0,2,0,1863.3,5,0.8734
DQ-0000213,BSCM-000008,Electronic City,2024-02-06,24,23,1,95.83,0,2,0,610.4,4,0.9173
DQ-0000214,BSCM-000008,Electronic City,2023-01-12,24,24,0,100.0,0,1,0,955.6,4,0.9506
DQ-0000215,BSCM-000008,Electronic City,2024-09-22,24,24,0,100.0,0,0,0,2426.0,1,0.9163
DQ-0000216,BSCM-000008,Electronic City,2023-10-05,24,24,0,100.0,0,0,0,349.3,5,0.8492
DQ-0000217,BSCM-000008,Electronic City,2024-12-24,24,24,0,100.0,0,2,0,1796.2,3,0.8431
DQ-0000218,BSCM-000008,Electronic City,2023-07-11,24,21,3,87.5,1,2,0,216.5,1,0.897
DQ-0000219,BSCM-000008,Electronic City,2023-09-16,24,24,0,100.0,0,1,0,2266.3,2,0.9975
DQ-0000220,BSCM-000008,Electronic City,2023-08-22,24,24,0,100.0,0,2,0,698.2,3,0.8134
DQ-0000221,BSCM-000008,Electronic City,2024-10-06,24,24,0,100.0,0,0,0,755.1,4,0.9691
DQ-0000222,BSCM-000008,Electronic City,2023-05-10,24,24,0,100.0,0,1,0,865.8,3,0.8415
DQ-0000223,BSCM-000008,Electronic City,2024-07-08,24,24,0,100.0,0,0,0,2238.6,2,0.9634
DQ-0000224,BSCM-000008,Electronic City,2024-08-20,24,24,0,100.0,0,1,0,1456.2,4,0.9717
DQ-0000225,BSCM-000008,Electronic City,2023-11-13,24,24,0,100.0,0,1,0,1770.2,2,0.8121
DQ-0000226,BSCM-000008,Electronic City,2023-06-02,24,24,0,100.0,0,1,0,2005.5,1,0.9314
DQ-0000227,BSCM-000008,Electronic City,2024-09-27,24,20,4,83.33,0,0,0,2462.4,4,0.9694
DQ-0000228,BSCM-000008,Electronic City,2023-05-24,24,23,1,95.83,1,2,0,2394.7,2,0.8341
DQ-0000229,BSCM-000008,Electronic City,2024-06-21,24,24,0,100.0,0,0,0,1338.0,2,0.9649
DQ-0000230,BSCM-000008,Electronic City,2023-08-29,24,24,0,100.0,0,2,0,2089.1,4,0.8472
DQ-0000231,BSCM-000008,Electronic City,2024-04-21,24,24,0,100.0,0,0,0,1160.7,1,0.9184
DQ-0000232,BSCM-000008,Electronic City,2023-01-07,24,23,1,95.83,0,0,0,71.4,2,0.9382
DQ-0000233,BSCM-000008,Electronic City,2024-08-18,24,24,0,100.0,0,2,0,890.2,0,0.8048
DQ-0000234,BSCM-000008,Electronic City,2023-11-12,24,24,0,100.0,0,0,0,1575.3,5,0.9237
DQ-0000235,BSCM-000008,Electronic City,2024-03-25,24,24,0,100.0,0,0,0,2456.5,3,0.9461
DQ-0000236,BSCM-000008,Electronic City,2024-10-28,24,24,0,100.0,0,1,0,244.2,3,0.816
DQ-0000237,BSCM-000008,Electronic City,2024-09-23,24,21,3,87.5,3,0,0,1912.1,0,0.8547
DQ-0000238,BSCM-000008,Electronic City,2024-12-05,24,21,3,87.5,3,2,0,1227.8,4,0.9179
DQ-0000239,BSCM-000008,Electronic City,2024-02-29,24,20,4,83.33,2,1,0,1881.8,5,0.8947
DQ-0000240,BSCM-000008,Electronic City,2024-11-20,24,24,0,100.0,0,0,0,1048.1,1,0.9022
DQ-0000241,BSCM-000009,Koramangala,2023-03-11,24,20,4,83.33,0,0,0,1133.9,4,0.9972
DQ-0000242,BSCM-000009,Koramangala,2024-10-04,24,22,2,91.67,1,1,0,880.8,2,0.8194
