forecast_id,zone,forecast_date,model_name,forecast_mw,actual_mw,p10_mw,p90_mw,mape_pct,peak_hour,peak_forecast_mw,horizon_hours,run_timestamp,p50_mw,p5_mw,p95_mw,confidence_level,model_version,training_data_size,last_retrained_date
FC-000021,Whitefield,2023-01-03,XGBoost-v3,43.33,45.87,38.13,48.53,5.537,9,58.5,24,2023-01-02 19:00:00,43.33,35.79,50.87,0.945,3.2.1,43029,2022-11-13
FC-000022,Koramangala,2023-01-03,XGBoost-v3,37.21,39.25,32.74,41.68,5.197,10,50.23,24,2023-01-02 22:00:00,37.21,30.73,43.69,0.948,3.2.1,43118,2022-11-12
FC-000023,Jayanagar,2023-01-03,Ensemble-v4,45.09,42.65,39.68,50.5,5.721,20,60.87,24,2023-01-02 19:00:00,45.09,37.25,52.93,0.943,4.1.0,42910,2022-11-11
FC-000024,Rajajinagar,2023-01-03,Ensemble-v4,33.84,36.35,29.78,37.9,6.905,18,45.68,24,2023-01-02 20:00:00,33.84,27.95,39.73,0.931,4.1.0,43114,2022-11-10
FC-000025,Hebbal,2023-01-03,Ensemble-v4,42.51,44.02,37.41,47.61,3.43,21,57.39,24,2023-01-02 22:00:00,42.51,35.11,49.9,0.966,4.1.0,42574,2022-11-09
FC-000026,Electronic City,2023-01-03,XGBoost-v3,37.15,39.43,32.69,41.61,5.782,20,50.15,24,2023-01-02 23:00:00,37.15,30.68,43.62,0.942,3.2.1,43473,2022-11-08
FC-000027,Marathahalli,2023-01-03,Ensemble-v4,44.81,42.91,39.43,50.19,4.428,18,60.49,24,2023-01-02 20:00:00,44.81,37.01,52.61,0.956,4.1.0,43224,2022-11-07
FC-000028,Indiranagar,2023-01-03,LSTM-v2,37.65,39.0,33.13,42.17,3.462,10,50.83,24,2023-01-02 22:00:00,37.65,31.1,44.2,0.965,2.1.0,43120,2022-11-06
FC-000029,Yelahanka,2023-01-03,Prophet-v1,39.38,40.25,34.65,44.11,2.161,9,53.16,24,2023-01-02 19:00:00,39.38,32.52,46.24,0.978,1.4.3,42910,2022-11-05
FC-000030,BTM Layout,2023-01-03,LSTM-v2,43.75,42.08,38.5,49.0,3.969,18,59.06,24,2023-01-02 20:00:00,43.75,36.14,51.36,0.96,2.1.0,42897,2022-11-04
FC-000031,Whitefield,2023-01-04,Prophet-v1,41.38,40.38,36.41,46.35,2.476,18,55.86,24,2023-01-03 19:00:00,41.38,34.17,48.59,0.975,1.4.3,43029,2022-11-04
FC-000032,Koramangala,2023-01-04,LSTM-v2,48.36,46.59,42.56,54.16,3.799,18,65.29,24,2023-01-03 20:00:00,48.36,39.95,56.77,0.962,2.1.0,43118,2022-11-03
FC-000033,Jayanagar,2023-01-04,Ensemble-v4,38.22,38.93,33.63,42.81,1.824,9,51.6,24,2023-01-03 18:00:00,38.22,31.56,44.88,0.982,4.1.0,42910,2022-11-02
FC-000034,Rajajinagar,2023-01-04,LSTM-v2,44.28,43.88,38.97,49.59,0.912,21,59.78,24,2023-01-03 20:00:00,44.28,36.58,51.98,0.991,2.1.0,43114,2022-11-01
FC-000035,Hebbal,2023-01-04,XGBoost-v3,35.86,37.25,31.56,40.16,3.732,9,48.41,24,2023-01-03 23:00:00,35.86,29.62,42.1,0.963,3.2.1,42574,2022-10-31
FC-000036,Electronic City,2023-01-04,Prophet-v1,42.22,40.34,37.15,47.29,4.66,19,57.0,24,2023-01-03 21:00:00,42.22,34.87,49.57,0.953,1.4.3,43473,2022-10-30
FC-000037,Marathahalli,2023-01-04,XGBoost-v3,47.55,44.88,41.84,53.26,5.949,20,64.19,24,2023-01-03 23:00:00,47.55,39.27,55.83,0.941,3.2.1,43224,2022-10-29
FC-000038,Indiranagar,2023-01-04,LSTM-v2,29.56,31.55,26.01,33.11,6.307,21,39.91,24,2023-01-03 23:00:00,29.56,24.41,34.71,0.937,2.1.0,43120,2022-10-28
FC-000039,Yelahanka,2023-01-04,Prophet-v1,39.59,41.4,34.84,44.34,4.372,21,53.45,24,2023-01-03 20:00:00,39.59,32.7,46.48,0.956,1.4.3,42910,2022-10-27
FC-000040,BTM Layout,2023-01-04,Prophet-v1,39.42,41.58,34.69,44.15,5.195,18,53.22,24,2023-01-03 22:00:00,39.42,32.56,46.28,0.948,1.4.3,42897,2022-10-26
FC-000041,Whitefield,2023-01-05,LSTM-v2,36.76,39.13,32.35,41.17,6.057,9,49.63,24,2023-01-04 20:00:00,36.76,30.37,43.15,0.939,2.1.0,43029,2022-10-26
FC-000042,Koramangala,2023-01-05,LSTM-v2,33.49,33.52,29.47,37.51,0.089,9,45.21,24,2023-01-04 23:00:00,33.49,27.66,39.32,0.999,2.1.0,43118,2022-10-25
FC-000043,Jayanagar,2023-01-05,LSTM-v2,45.08,42.52,39.67,50.49,6.021,21,60.86,24,2023-01-04 19:00:00,45.08,37.24,52.92,0.94,2.1.0,42910,2022-10-24
FC-000044,Rajajinagar,2023-01-05,XGBoost-v3,43.48,46.23,38.26,48.7,5.949,20,58.7,24,2023-01-04 23:00:00,43.48,35.91,51.05,0.941,3.2.1,43114,2022-10-23
FC-000045,Hebbal,2023-01-05,Ensemble-v4,38.78,40.11,34.13,43.43,3.316,9,52.35,24,2023-01-04 19:00:00,38.78,32.04,45.52,0.967,4.1.0,42574,2022-10-22
FC-000046,Electronic City,2023-01-05,Ensemble-v4,40.99,43.05,36.07,45.91,4.785,9,55.34,24,2023-01-04 19:00:00,40.99,33.86,48.12,0.952,4.1.0,43473,2022-12-05
FC-000047,Marathahalli,2023-01-05,LSTM-v2,42.86,43.53,37.72,48.0,1.539,20,57.86,24,2023-01-04 21:00:00,42.86,35.41,50.31,0.985,2.1.0,43224,2022-12-04
FC-000048,Indiranagar,2023-01-05,Prophet-v1,34.63,36.76,30.47,38.79,5.794,21,46.75,24,2023-01-04 20:00:00,34.63,28.6,40.66,0.942,1.4.3,43120,2022-12-03
FC-000049,Yelahanka,2023-01-05,LSTM-v2,35.9,36.46,31.59,40.21,1.536,18,48.47,24,2023-01-04 19:00:00,35.9,29.65,42.15,0.985,2.1.0,42910,2022-12-02
FC-000050,BTM Layout,2023-01-05,Prophet-v1,44.35,42.27,39.03,49.67,4.921,21,59.87,24,2023-01-04 23:00:00,44.35,36.64,52.06,0.951,1.4.3,42897,2022-12-01
FC-000051,Whitefield,2023-01-06,LSTM-v2,41.74,41.18,36.73,46.75,1.36,21,56.35,24,2023-01-05 21:00:00,41.74,34.48,49.0,0.986,2.1.0,43029,2022-12-01
FC-000052,Koramangala,2023-01-06,Prophet-v1,38.72,39.13,34.07,43.37,1.048,18,52.27,24,2023-01-05 19:00:00,38.72,31.98,45.46,0.99,1.4.3,43118,2022-11-30
FC-000053,Jayanagar,2023-01-06,LSTM-v2,36.55,38.34,32.16,40.94,4.669,10,49.34,24,2023-01-05 21:00:00,36.55,30.18,42.92,0.953,2.1.0,42910,2022-11-29
FC-000054,Rajajinagar,2023-01-06,Prophet-v1,39.22,40.61,34.51,43.93,3.423,21,52.95,24,2023-01-05 19:00:00,39.22,32.39,46.05,0.966,1.4.3,43114,2022-11-28
FC-000055,Hebbal,2023-01-06,LSTM-v2,38.46,39.99,33.84,43.08,3.826,10,51.92,24,2023-01-05 18:00:00,38.46,31.76,45.16,0.962,2.1.0,42574,2022-11-27
FC-000056,Electronic City,2023-01-06,Ensemble-v4,40.14,39.44,35.32,44.96,1.775,21,54.19,24,2023-01-05 18:00:00,40.14,33.15,47.13,0.982,4.1.0,43473,2022-11-26
FC-000057,Marathahalli,2023-01-06,Prophet-v1,39.52,42.06,34.78,44.26,6.039,20,53.35,24,2023-01-05 22:00:00,39.52,32.65,46.39,0.94,1.4.3,43224,2022-11-25
FC-000058,Indiranagar,2023-01-06,Prophet-v1,44.71,41.84,39.34,50.08,6.859,20,60.36,24,2023-01-05 20:00:00,44.71,36.92,52.5,0.931,1.4.3,43120,2022-11-24
FC-000059,Yelahanka,2023-01-06,Ensemble-v4,42.76,45.23,37.63,47.89,5.461,20,57.73,24,2023-01-05 23:00:00,42.76,35.32,50.2,0.945,4.1.0,42910,2022-11-23
FC-000060,BTM Layout,2023-01-06,XGBoost-v3,39.53,39.23,34.79,44.27,0.765,19,53.37,24,2023-01-05 23:00:00,39.53,32.66,46.4,0.992,3.2.1,42897,2022-11-22
FC-000061,Whitefield,2023-01-07,Prophet-v1,44.73,44.73,39.36,50.1,0.0,19,60.39,24,2023-01-06 21:00:00,44.73,36.94,52.52,1.0,1.4.3,43029,2022-11-22
FC-000062,Koramangala,2023-01-07,XGBoost-v3,46.73,44.5,41.12,52.34,5.011,10,63.09,24,2023-01-06 20:00:00,46.73,38.6,54.86,0.95,3.2.1,43118,2022-11-21
FC-000063,Jayanagar,2023-01-07,LSTM-v2,35.37,37.66,31.13,39.61,6.081,20,47.75,24,2023-01-06 18:00:00,35.37,29.22,41.52,0.939,2.1.0,42910,2022-11-20
FC-000064,Rajajinagar,2023-01-07,XGBoost-v3,37.99,37.16,33.43,42.55,2.234,19,51.29,24,2023-01-06 22:00:00,37.99,31.38,44.6,0.978,3.2.1,43114,2022-11-19
FC-000065,Hebbal,2023-01-07,LSTM-v2,42.4,41.28,37.31,47.49,2.713,18,57.24,24,2023-01-06 18:00:00,42.4,35.02,49.78,0.973,2.1.0,42574,2022-11-18
FC-000066,Electronic City,2023-01-07,Prophet-v1,39.76,38.36,34.99,44.53,3.65,10,53.68,24,2023-01-06 20:00:00,39.76,32.84,46.68,0.964,1.4.3,43473,2022-11-17
FC-000067,Marathahalli,2023-01-07,Ensemble-v4,42.19,41.69,37.13,47.25,1.199,20,56.96,24,2023-01-06 23:00:00,42.19,34.85,49.53,0.988,4.1.0,43224,2022-11-16
FC-000068,Indiranagar,2023-01-07,Ensemble-v4,42.35,41.35,37.27,47.43,2.418,21,57.17,24,2023-01-06 20:00:00,42.35,34.98,49.72,0.976,4.1.0,43120,2022-11-15
FC-000069,Yelahanka,2023-01-07,Prophet-v1,36.67,37.9,32.27,41.07,3.245,9,49.5,24,2023-01-06 18:00:00,36.67,30.29,43.05,0.968,1.4.3,42910,2022-11-14
FC-000070,BTM Layout,2023-01-07,LSTM-v2,46.04,44.98,40.52,51.56,2.357,21,62.15,24,2023-01-06 22:00:00,46.04,38.04,54.04,0.976,2.1.0,42897,2022-11-13
FC-000071,Whitefield,2023-01-08,Ensemble-v4,39.01,41.9,34.33,43.69,6.897,9,52.66,24,2023-01-07 20:00:00,39.01,32.22,45.8,0.931,4.1.0,43029,2022-11-13
FC-000072,Koramangala,2023-01-08,LSTM-v2,39.62,39.85,34.87,44.37,0.577,20,53.49,24,2023-01-07 18:00:00,39.62,32.73,46.51,0.994,2.1.0,43118,2022-11-12
FC-000073,Jayanagar,2023-01-08,Prophet-v1,43.55,43.46,38.32,48.78,0.207,10,58.79,24,2023-01-07 21:00:00,43.55,35.97,51.13,0.998,1.4.3,42910,2022-11-11
FC-000074,Rajajinagar,2023-01-08,XGBoost-v3,42.5,40.19,37.4,47.6,5.748,21,57.38,24,2023-01-07 21:00:00,42.5,35.1,49.9,0.943,3.2.1,43114,2022-11-10
FC-000075,Hebbal,2023-01-08,XGBoost-v3,36.3,37.87,31.94,40.66,4.146,21,49.01,24,2023-01-07 21:00:00,36.3,29.98,42.62,0.959,3.2.1,42574,2022-11-09
FC-000076,Electronic City,2023-01-08,LSTM-v2,43.29,43.01,38.1,48.48,0.651,20,58.44,24,2023-01-07 21:00:00,43.29,35.76,50.82,0.993,2.1.0,43473,2022-11-08
FC-000077,Marathahalli,2023-01-08,Prophet-v1,41.35,39.79,36.39,46.31,3.921,18,55.82,24,2023-01-07 23:00:00,41.35,34.16,48.54,0.961,1.4.3,43224,2022-11-07
FC-000078,Indiranagar,2023-01-08,Prophet-v1,39.62,41.75,34.87,44.37,5.102,18,53.49,24,2023-01-07 18:00:00,39.62,32.73,46.51,0.949,1.4.3,43120,2022-11-06
FC-000079,Yelahanka,2023-01-08,Ensemble-v4,45.0,42.48,39.6,50.4,5.932,20,60.75,24,2023-01-07 20:00:00,45.0,37.17,52.83,0.941,4.1.0,42910,2022-11-05
FC-000080,BTM Layout,2023-01-08,Prophet-v1,38.75,41.36,34.1,43.4,6.31,19,52.31,24,2023-01-07 21:00:00,38.75,32.01,45.49,0.937,1.4.3,42897,2022-11-04
FC-000081,Whitefield,2023-01-09,XGBoost-v3,43.11,44.68,37.94,48.28,3.514,20,58.2,24,2023-01-08 19:00:00,43.11,35.61,50.61,0.965,3.2.1,43029,2022-11-04
FC-000082,Koramangala,2023-01-09,Prophet-v1,43.48,40.69,38.26,48.7,6.857,20,58.7,24,2023-01-08 22:00:00,43.48,35.91,51.05,0.931,1.4.3,43118,2022-11-03
FC-000083,Jayanagar,2023-01-09,Prophet-v1,38.12,40.11,33.55,42.69,4.961,9,51.46,24,2023-01-08 23:00:00,38.12,31.49,44.75,0.95,1.4.3,42910,2022-11-02
FC-000084,Rajajinagar,2023-01-09,Ensemble-v4,40.2,38.35,35.38,45.02,4.824,21,54.27,24,2023-01-08 22:00:00,40.2,33.21,47.19,0.952,4.1.0,43114,2022-11-01
FC-000085,Hebbal,2023-01-09,Prophet-v1,41.05,40.1,36.12,45.98,2.369,18,55.42,24,2023-01-08 20:00:00,41.05,33.9,48.2,0.976,1.4.3,42574,2022-10-31
FC-000086,Electronic City,2023-01-09,Prophet-v1,41.31,43.1,36.35,46.27,4.153,20,55.77,24,2023-01-08 23:00:00,41.31,34.12,48.5,0.958,1.4.3,43473,2022-10-30
FC-000087,Marathahalli,2023-01-09,XGBoost-v3,45.35,44.02,39.91,50.79,3.021,21,61.22,24,2023-01-08 19:00:00,45.35,37.46,53.24,0.97,3.2.1,43224,2022-10-29
FC-000088,Indiranagar,2023-01-09,Prophet-v1,37.6,35.25,33.09,42.11,6.667,19,50.76,24,2023-01-08 23:00:00,37.6,31.06,44.14,0.933,1.4.3,43120,2022-10-28
FC-000089,Yelahanka,2023-01-09,LSTM-v2,47.2,45.11,41.54,52.86,4.633,19,63.72,24,2023-01-08 23:00:00,47.2,38.99,55.41,0.954,2.1.0,42910,2022-10-27
FC-000090,BTM Layout,2023-01-09,LSTM-v2,39.01,37.39,34.33,43.69,4.333,10,52.66,24,2023-01-08 20:00:00,39.01,32.22,45.8,0.957,2.1.0,42897,2022-10-26
FC-000091,Whitefield,2023-01-10,LSTM-v2,42.56,40.27,37.45,47.67,5.687,18,57.46,24,2023-01-09 22:00:00,42.56,35.15,49.97,0.943,2.1.0,43029,2022-12-10
FC-000092,Koramangala,2023-01-10,LSTM-v2,44.44,44.28,39.11,49.77,0.361,21,59.99,24,2023-01-09 19:00:00,44.44,36.71,52.17,0.996,2.1.0,43118,2022-12-09
FC-000093,Jayanagar,2023-01-10,XGBoost-v3,38.36,40.31,33.76,42.96,4.838,19,51.79,24,2023-01-09 20:00:00,38.36,31.69,45.03,0.952,3.2.1,42910,2022-12-08
FC-000094,Rajajinagar,2023-01-10,XGBoost-v3,48.81,46.54,42.95,54.67,4.878,9,65.89,24,2023-01-09 18:00:00,48.81,40.31,57.31,0.951,3.2.1,43114,2022-12-07
FC-000095,Hebbal,2023-01-10,LSTM-v2,43.09,41.88,37.92,48.26,2.889,10,58.17,24,2023-01-09 21:00:00,43.09,35.59,50.59,0.971,2.1.0,42574,2022-12-06
FC-000096,Electronic City,2023-01-10,Ensemble-v4,44.1,44.75,38.81,49.39,1.453,21,59.54,24,2023-01-09 18:00:00,44.1,36.43,51.77,0.985,4.1.0,43473,2022-12-05
FC-000097,Marathahalli,2023-01-10,XGBoost-v3,34.86,35.43,30.68,39.04,1.609,21,47.06,24,2023-01-09 23:00:00,34.86,28.8,40.92,0.984,3.2.1,43224,2022-12-04
FC-000098,Indiranagar,2023-01-10,XGBoost-v3,41.33,42.93,36.37,46.29,3.727,21,55.8,24,2023-01-09 19:00:00,41.33,34.14,48.52,0.963,3.2.1,43120,2022-12-03
FC-000099,Yelahanka,2023-01-10,LSTM-v2,43.79,43.44,38.54,49.04,0.806,19,59.12,24,2023-01-09 19:00:00,43.79,36.18,51.4,0.992,2.1.0,42910,2022-12-02
FC-000100,BTM Layout,2023-01-10,Prophet-v1,43.51,43.68,38.29,48.73,0.389,10,58.74,24,2023-01-09 22:00:00,43.51,35.94,51.08,0.996,1.4.3,42897,2022-12-01
FC-000101,Whitefield,2023-01-11,XGBoost-v3,43.33,40.74,38.13,48.53,6.357,18,58.5,24,2023-01-10 22:00:00,43.33,35.79,50.87,0.936,3.2.1,43029,2022-12-01
FC-000102,Koramangala,2023-01-11,XGBoost-v3,38.23,39.17,33.64,42.82,2.4,9,51.61,24,2023-01-10 23:00:00,38.23,31.57,44.89,0.976,3.2.1,43118,2022-11-30
FC-000103,Jayanagar,2023-01-11,Ensemble-v4,39.91,42.2,35.12,44.7,5.427,21,53.88,24,2023-01-10 23:00:00,39.91,32.96,46.86,0.946,4.1.0,42910,2022-11-29
FC-000104,Rajajinagar,2023-01-11,XGBoost-v3,41.34,43.54,36.38,46.3,5.053,10,55.81,24,2023-01-10 18:00:00,41.34,34.15,48.53,0.949,3.2.1,43114,2022-11-28
FC-000105,Hebbal,2023-01-11,LSTM-v2,48.02,45.28,42.26,53.78,6.051,10,64.83,24,2023-01-10 20:00:00,48.02,39.67,56.37,0.939,2.1.0,42574,2022-11-27
FC-000106,Electronic City,2023-01-11,XGBoost-v3,46.1,45.4,40.57,51.63,1.542,21,62.24,24,2023-01-10 20:00:00,46.1,38.08,54.12,0.985,3.2.1,43473,2022-11-26
FC-000107,Marathahalli,2023-01-11,Prophet-v1,40.96,40.35,36.04,45.88,1.512,20,55.3,24,2023-01-10 20:00:00,40.96,33.83,48.09,0.985,1.4.3,43224,2022-11-25
FC-000108,Indiranagar,2023-01-11,Ensemble-v4,39.55,40.44,34.8,44.3,2.201,19,53.39,24,2023-01-10 19:00:00,39.55,32.66,46.44,0.978,4.1.0,43120,2022-11-24
FC-000109,Yelahanka,2023-01-11,XGBoost-v3,32.3,32.07,28.42,36.18,0.717,10,43.6,24,2023-01-10 18:00:00,32.3,26.67,37.93,0.993,3.2.1,42910,2022-11-23
FC-000110,BTM Layout,2023-01-11,Prophet-v1,38.53,39.21,33.91,43.15,1.734,20,52.02,24,2023-01-10 22:00:00,38.53,31.83,45.23,0.983,1.4.3,42897,2022-11-22
FC-000111,Whitefield,2023-01-12,LSTM-v2,42.27,41.31,37.2,47.34,2.324,21,57.06,24,2023-01-11 22:00:00,42.27,34.92,49.62,0.977,2.1.0,43029,2022-11-22
FC-000112,Koramangala,2023-01-12,Prophet-v1,40.94,41.2,36.03,45.85,0.631,9,55.27,24,2023-01-11 21:00:00,40.94,33.82,48.06,0.994,1.4.3,43118,2022-11-21
FC-000113,Jayanagar,2023-01-12,Prophet-v1,43.72,42.5,38.47,48.97,2.871,9,59.02,24,2023-01-11 18:00:00,43.72,36.11,51.33,0.971,1.4.3,42910,2022-11-20
FC-000114,Rajajinagar,2023-01-12,LSTM-v2,40.5,42.2,35.64,45.36,4.028,18,54.68,24,2023-01-11 19:00:00,40.5,33.45,47.55,0.96,2.1.0,43114,2022-11-19
FC-000115,Hebbal,2023-01-12,Prophet-v1,41.26,39.43,36.31,46.21,4.641,10,55.7,24,2023-01-11 21:00:00,41.26,34.08,48.44,0.954,1.4.3,42574,2022-11-18
FC-000116,Electronic City,2023-01-12,Prophet-v1,45.62,42.76,40.15,51.09,6.688,21,61.59,24,2023-01-11 22:00:00,45.62,37.69,53.55,0.933,1.4.3,43473,2022-11-17
FC-000117,Marathahalli,2023-01-12,XGBoost-v3,43.13,41.89,37.95,48.31,2.96,21,58.23,24,2023-01-11 23:00:00,43.13,35.62,50.64,0.97,3.2.1,43224,2022-11-16
FC-000118,Indiranagar,2023-01-12,Ensemble-v4,39.23,38.32,34.52,43.94,2.375,9,52.96,24,2023-01-11 18:00:00,39.23,32.4,46.06,0.976,4.1.0,43120,2022-11-15
FC-000119,Yelahanka,2023-01-12,Prophet-v1,42.47,43.49,37.37,47.57,2.345,10,57.33,24,2023-01-11 18:00:00,42.47,35.07,49.86,0.977,1.4.3,42910,2022-11-14
FC-000120,BTM Layout,2023-01-12,LSTM-v2,38.56,39.87,33.93,43.19,3.286,18,52.06,24,2023-01-11 23:00:00,38.56,31.85,45.27,0.967,2.1.0,42897,2022-11-13
FC-000121,Whitefield,2023-01-13,XGBoost-v3,49.89,47.12,43.9,55.88,5.879,21,67.35,24,2023-01-12 18:00:00,49.89,41.2,58.58,0.941,3.2.1,43029,2022-11-13
FC-000122,Koramangala,2023-01-13,XGBoost-v3,45.38,48.13,39.93,50.83,5.714,10,61.26,24,2023-01-12 18:00:00,45.38,37.48,53.28,0.943,3.2.1,43118,2022-11-12
FC-000123,Jayanagar,2023-01-13,LSTM-v2,36.18,38.3,31.84,40.52,5.535,10,48.84,24,2023-01-12 20:00:00,36.18,29.89,42.47,0.945,2.1.0,42910,2022-11-11
FC-000124,Rajajinagar,2023-01-13,XGBoost-v3,31.55,32.54,27.76,35.34,3.042,9,42.59,24,2023-01-12 23:00:00,31.55,26.05,37.05,0.97,3.2.1,43114,2022-11-10
FC-000125,Hebbal,2023-01-13,XGBoost-v3,36.16,38.35,31.82,40.5,5.711,20,48.82,24,2023-01-12 18:00:00,36.16,29.87,42.45,0.943,3.2.1,42574,2022-11-09
FC-000126,Electronic City,2023-01-13,Prophet-v1,40.12,41.34,35.31,44.93,2.951,10,54.16,24,2023-01-12 22:00:00,40.12,33.15,47.09,0.97,1.4.3,43473,2022-11-08
FC-000127,Marathahalli,2023-01-13,Prophet-v1,40.93,41.55,36.02,45.84,1.492,9,55.26,24,2023-01-12 19:00:00,40.93,33.81,48.05,0.985,1.4.3,43224,2022-11-07
FC-000128,Indiranagar,2023-01-13,Ensemble-v4,43.58,41.72,38.35,48.81,4.458,10,58.83,24,2023-01-12 21:00:00,43.58,36.0,51.16,0.955,4.1.0,43120,2022-11-06
FC-000129,Yelahanka,2023-01-13,Ensemble-v4,38.21,40.9,33.62,42.8,6.577,18,51.58,24,2023-01-12 20:00:00,38.21,31.55,44.87,0.934,4.1.0,42910,2022-11-05
FC-000130,BTM Layout,2023-01-13,Prophet-v1,45.49,46.16,40.03,50.95,1.451,19,61.41,24,2023-01-12 19:00:00,45.49,37.57,53.41,0.985,1.4.3,42897,2022-11-04
FC-000131,Whitefield,2023-01-14,LSTM-v2,37.22,39.51,32.75,41.69,5.796,10,50.25,24,2023-01-13 19:00:00,37.22,30.74,43.7,0.942,2.1.0,43029,2022-11-04
FC-000132,Koramangala,2023-01-14,LSTM-v2,40.2,39.64,35.38,45.02,1.413,10,54.27,24,2023-01-13 23:00:00,40.2,33.21,47.19,0.986,2.1.0,43118,2022-11-03
FC-000133,Jayanagar,2023-01-14,Ensemble-v4,39.87,41.75,35.09,44.65,4.503,10,53.82,24,2023-01-13 22:00:00,39.87,32.94,46.8,0.955,4.1.0,42910,2022-11-02
FC-000134,Rajajinagar,2023-01-14,LSTM-v2,45.82,43.74,40.32,51.32,4.755,19,61.86,24,2023-01-13 20:00:00,45.82,37.84,53.8,0.952,2.1.0,43114,2022-11-01
FC-000135,Hebbal,2023-01-14,LSTM-v2,44.11,41.76,38.82,49.4,5.627,19,59.55,24,2023-01-13 19:00:00,44.11,36.44,51.78,0.944,2.1.0,42574,2022-10-31
FC-000136,Electronic City,2023-01-14,Ensemble-v4,41.1,39.4,36.17,46.03,4.315,18,55.49,24,2023-01-13 22:00:00,41.1,33.95,48.25,0.957,4.1.0,43473,2022-12-14
