meter_id,zone,date,theft_label,supervised_probability,isolation_probability,blended_probability,predicted_theft
BSCM-000182,Electronic City,2024-11-04,0,0.65177,0.08453,0.4816,0
BSCM-000332,Indiranagar,2024-12-17,0,0.62846,0.11449,0.47427,0
BSCM-000012,Yelahanka,2024-09-22,0,0.63054,0.10295,0.47226,0
BSCM-000186,Rajajinagar,2024-12-21,1,0.62794,0.10858,0.47213,0
BSCM-000491,Indiranagar,2024-08-20,0,0.62439,0.1121,0.4707,0
BSCM-000221,Yelahanka,2024-12-25,1,0.62443,0.11051,0.47025,0
BSCM-000194,Electronic City,2024-08-18,0,0.58257,0.20786,0.47016,0
BSCM-000003,Yelahanka,2024-11-25,0,0.62078,0.11628,0.46943,0
BSCM-000418,Hebbal,2024-12-07,0,0.62222,0.11119,0.46891,0
BSCM-000158,Electronic City,2024-12-26,0,0.59856,0.14671,0.463,0
BSCM-000438,Hebbal,2024-10-27,0,0.58745,0.16964,0.46211,0
BSCM-000362,Jayanagar,2024-10-01,0,0.60388,0.11615,0.45756,0
BSCM-000210,Yelahanka,2024-11-01,0,0.59935,0.10849,0.4521,0
BSCM-000278,Electronic City,2024-12-02,1,0.528,0.27468,0.45201,0
BSCM-000357,Indiranagar,2024-12-18,0,0.59699,0.11371,0.452,0
BSCM-000017,Hebbal,2024-11-12,0,0.60252,0.09361,0.44985,0
BSCM-000221,Yelahanka,2024-11-28,1,0.5736,0.15704,0.44863,0
BSCM-000439,Indiranagar,2024-08-12,1,0.58513,0.12097,0.44588,0
BSCM-000266,Marathahalli,2024-12-13,0,0.51032,0.29144,0.44466,0
BSCM-000454,Electronic City,2024-12-16,0,0.44446,0.43891,0.44279,0
BSCM-000034,Whitefield,2024-10-23,0,0.27434,0.83173,0.44155,0
BSCM-000076,Hebbal,2024-11-03,0,0.51816,0.26253,0.44147,0
BSCM-000325,Marathahalli,2024-11-11,0,0.58224,0.10115,0.43792,0
BSCM-000418,Hebbal,2024-09-24,0,0.56605,0.11527,0.43082,0
BSCM-000169,Koramangala,2024-10-30,0,0.59008,0.05814,0.4305,0
BSCM-000269,Indiranagar,2024-12-05,0,0.56098,0.11189,0.42625,0
BSCM-000040,Hebbal,2024-12-27,0,0.55626,0.11486,0.42384,0
BSCM-000071,Electronic City,2024-09-16,0,0.52238,0.19143,0.42309,0
BSCM-000003,Yelahanka,2024-08-26,0,0.54978,0.12186,0.42141,0
BSCM-000321,Hebbal,2024-09-26,0,0.56767,0.0579,0.41474,0
BSCM-000186,Rajajinagar,2024-10-09,0,0.54847,0.10256,0.4147,0
BSCM-000250,Rajajinagar,2024-12-29,0,0.29943,0.65988,0.40756,0
BSCM-000395,Yelahanka,2024-10-14,0,0.54203,0.09152,0.40687,0
BSCM-000401,BTM Layout,2024-10-03,0,0.54224,0.09098,0.40686,0
BSCM-000232,Rajajinagar,2024-08-16,0,0.52787,0.12145,0.40594,0
BSCM-000156,Rajajinagar,2024-09-07,0,0.55229,0.05584,0.40335,0
BSCM-000073,Yelahanka,2024-11-26,0,0.54225,0.07914,0.40332,0
BSCM-000038,Whitefield,2024-11-24,0,0.50322,0.16053,0.40041,0
BSCM-000154,Whitefield,2024-12-23,0,0.47255,0.22457,0.39816,0
BSCM-000070,Whitefield,2024-09-09,0,0.47739,0.19999,0.39417,0
BSCM-000093,Indiranagar,2024-11-30,0,0.46669,0.21807,0.3921,0
BSCM-000087,Jayanagar,2024-09-15,1,0.49806,0.13044,0.38777,0
BSCM-000025,Hebbal,2024-11-13,0,0.50387,0.11296,0.38659,0
BSCM-000069,Koramangala,2024-11-13,0,0.52391,0.05599,0.38353,0
BSCM-000043,Hebbal,2024-09-21,0,0.51107,0.07383,0.3799,0
BSCM-000078,Koramangala,2024-12-15,0,0.43688,0.23879,0.37745,0
BSCM-000353,Electronic City,2024-10-19,0,0.45436,0.18928,0.37484,0
BSCM-000111,Koramangala,2024-08-23,0,0.47139,0.13494,0.37045,0
BSCM-000498,Indiranagar,2024-12-06,0,0.487,0.08098,0.36519,0
BSCM-000115,Marathahalli,2024-09-18,1,0.46506,0.12899,0.36424,0
BSCM-000174,Yelahanka,2024-12-22,0,0.47619,0.10188,0.3639,0
BSCM-000418,Hebbal,2024-10-21,0,0.48824,0.06391,0.36094,0
BSCM-000221,Yelahanka,2024-12-06,0,0.42032,0.206,0.35602,0
BSCM-000438,Hebbal,2024-10-17,0,0.42452,0.19103,0.35447,0
BSCM-000040,Hebbal,2024-11-25,1,0.45426,0.09712,0.34712,0
BSCM-000077,Hebbal,2024-09-29,0,0.29977,0.44109,0.34217,0
BSCM-000071,Electronic City,2024-10-29,0,0.38527,0.23785,0.34104,0
BSCM-000205,BTM Layout,2024-09-28,0,0.35838,0.29731,0.34006,0
BSCM-000146,Yelahanka,2024-09-17,0,0.40863,0.16912,0.33678,0
BSCM-000040,Hebbal,2024-08-11,0,0.41487,0.14675,0.33443,0
BSCM-000266,Marathahalli,2024-10-13,0,0.33662,0.32075,0.33186,0
BSCM-000334,Rajajinagar,2024-10-04,0,0.42553,0.09746,0.32711,0
BSCM-000441,Whitefield,2024-12-07,0,0.42025,0.10755,0.32644,0
BSCM-000462,Jayanagar,2024-10-02,0,0.37576,0.21132,0.32643,0
BSCM-000273,Hebbal,2024-10-12,0,0.22044,0.57244,0.32604,0
BSCM-000324,Jayanagar,2024-10-22,0,0.39811,0.1335,0.31873,0
BSCM-000370,Indiranagar,2024-09-27,0,0.40325,0.1077,0.31458,0
BSCM-000462,Jayanagar,2024-10-19,0,0.32646,0.28049,0.31267,0
BSCM-000003,Yelahanka,2024-11-23,0,0.39264,0.11831,0.31034,0
BSCM-000149,Whitefield,2024-12-28,0,0.35997,0.19206,0.3096,0
BSCM-000432,Electronic City,2024-08-29,0,0.32325,0.27654,0.30924,0
BSCM-000183,BTM Layout,2024-09-02,0,0.07834,0.84123,0.30721,0
BSCM-000463,Whitefield,2024-09-02,0,0.33309,0.23544,0.30379,0
BSCM-000250,Rajajinagar,2024-08-11,0,0.00385,1.0,0.30269,0
BSCM-000262,Koramangala,2024-11-22,1,0.35355,0.17362,0.29957,0
BSCM-000434,Yelahanka,2024-10-22,0,0.38722,0.09366,0.29915,0
BSCM-000109,Electronic City,2024-12-01,0,0.37629,0.10873,0.29602,0
BSCM-000248,Rajajinagar,2024-10-27,0,0.33845,0.18404,0.29213,0
BSCM-000490,Marathahalli,2024-10-16,0,0.05659,0.83996,0.2916,0
BSCM-000490,Marathahalli,2024-11-29,0,0.07775,0.77674,0.28745,0
BSCM-000480,Marathahalli,2024-12-16,0,0.33389,0.17744,0.28695,0
BSCM-000008,Electronic City,2024-11-21,0,0.04335,0.85346,0.28638,0
BSCM-000008,Electronic City,2024-11-30,0,0.04305,0.85213,0.28578,0
BSCM-000494,Marathahalli,2024-12-27,0,0.33,0.17799,0.28439,0
BSCM-000480,Marathahalli,2024-12-27,0,0.32807,0.17392,0.28183,0
BSCM-000323,Indiranagar,2024-12-22,0,0.28699,0.26619,0.28075,0
BSCM-000040,Hebbal,2024-11-30,0,0.32934,0.1632,0.2795,0
BSCM-000155,Jayanagar,2024-12-06,0,0.31957,0.18028,0.27778,0
BSCM-000313,Whitefield,2024-11-09,0,0.33942,0.11911,0.27333,0
BSCM-000486,Whitefield,2024-08-17,0,0.15742,0.54325,0.27317,0
BSCM-000325,Marathahalli,2024-12-07,0,0.34403,0.10578,0.27255,0
BSCM-000250,Rajajinagar,2024-12-24,0,0.00759,0.88785,0.27167,0
BSCM-000183,BTM Layout,2024-09-29,0,0.02256,0.85259,0.27157,0
BSCM-000337,Marathahalli,2024-08-12,0,0.00025,0.90245,0.27091,0
BSCM-000034,Whitefield,2024-11-14,0,0.01153,0.87544,0.27071,0
BSCM-000008,Electronic City,2024-11-22,0,0.10094,0.65626,0.26754,0
BSCM-000250,Rajajinagar,2024-12-06,0,0.00447,0.87748,0.26637,0
BSCM-000452,Rajajinagar,2024-12-19,0,0.26996,0.25757,0.26624,0
BSCM-000291,Indiranagar,2024-12-09,0,0.30123,0.18116,0.26521,0
BSCM-000455,Indiranagar,2024-12-23,0,0.32236,0.13144,0.26509,0
BSCM-000337,Marathahalli,2024-09-06,0,0.00564,0.8658,0.26368,0
BSCM-000004,Whitefield,2024-11-28,0,0.25618,0.27785,0.26268,0
BSCM-000337,Marathahalli,2024-08-07,0,0.00815,0.85624,0.26258,0
BSCM-000248,Rajajinagar,2024-12-05,0,0.27512,0.23218,0.26223,0
BSCM-000118,Rajajinagar,2024-10-07,0,0.33793,0.08478,0.26199,0
BSCM-000070,Whitefield,2024-10-05,0,0.35579,0.04192,0.26163,0
BSCM-000337,Marathahalli,2024-10-24,0,0.01198,0.84263,0.26117,0
BSCM-000138,Yelahanka,2024-09-25,0,0.23046,0.33065,0.26052,0
BSCM-000183,BTM Layout,2024-09-17,0,0.01031,0.84425,0.26049,0
BSCM-000282,Hebbal,2024-10-07,0,0.29197,0.18626,0.26026,0
BSCM-000031,Koramangala,2024-11-14,0,0.22152,0.34518,0.25861,0
BSCM-000008,Electronic City,2024-10-12,0,0.02179,0.81015,0.2583,0
BSCM-000026,BTM Layout,2024-12-28,0,0.25957,0.25066,0.2569,0
BSCM-000337,Marathahalli,2024-10-04,0,0.01902,0.80289,0.25418,0
BSCM-000250,Rajajinagar,2024-12-05,0,0.00836,0.82667,0.25386,0
BSCM-000250,Rajajinagar,2024-09-29,0,0.00468,0.83342,0.2533,0
BSCM-000250,Rajajinagar,2024-09-19,0,0.00426,0.83118,0.25234,0
BSCM-000119,Indiranagar,2024-11-11,0,0.01655,0.80144,0.25202,0
BSCM-000008,Electronic City,2024-08-26,0,0.00726,0.82013,0.25112,0
BSCM-000302,Rajajinagar,2024-10-27,0,0.27596,0.19044,0.25031,0
BSCM-000026,BTM Layout,2024-11-05,0,0.23592,0.28141,0.24957,0
BSCM-000008,Electronic City,2024-09-06,0,0.01595,0.79274,0.24899,0
BSCM-000183,BTM Layout,2024-11-12,0,0.02704,0.76652,0.24888,0
BSCM-000332,Indiranagar,2024-12-20,0,0.20088,0.36054,0.24878,0
BSCM-000471,Electronic City,2024-09-11,0,0.27576,0.18085,0.24729,0
BSCM-000250,Rajajinagar,2024-08-17,0,0.01554,0.78786,0.24724,0
BSCM-000221,Yelahanka,2024-09-16,0,0.21736,0.31278,0.24598,0
BSCM-000183,BTM Layout,2024-08-18,0,0.00809,0.79819,0.24512,0
BSCM-000486,Whitefield,2024-08-25,0,0.05016,0.69753,0.24437,0
BSCM-000250,Rajajinagar,2024-11-03,0,0.01478,0.77863,0.24394,0
BSCM-000335,Whitefield,2024-12-11,1,0.31994,0.06273,0.24278,0
BSCM-000034,Whitefield,2024-09-18,0,0.00194,0.80305,0.24227,0
BSCM-000250,Rajajinagar,2024-12-12,0,0.00076,0.80164,0.24103,0
BSCM-000337,Marathahalli,2024-08-11,0,0.0115,0.77625,0.24092,0
BSCM-000337,Marathahalli,2024-08-18,0,0.00718,0.78331,0.24002,0
BSCM-000250,Rajajinagar,2024-10-07,0,0.00136,0.79588,0.23972,0
BSCM-000008,Electronic City,2024-12-17,0,0.01181,0.77133,0.23966,0
BSCM-000026,BTM Layout,2024-10-05,0,0.2256,0.27109,0.23925,0
BSCM-000250,Rajajinagar,2024-11-10,0,0.00381,0.78785,0.23902,0
BSCM-000008,Electronic City,2024-08-31,0,0.01864,0.7425,0.2358,0
BSCM-000378,Koramangala,2024-09-19,0,0.26095,0.17362,0.23475,0
BSCM-000010,Jayanagar,2024-11-10,0,0.20945,0.28717,0.23277,0
BSCM-000491,Indiranagar,2024-11-04,0,0.26223,0.16387,0.23272,0
BSCM-000250,Rajajinagar,2024-08-29,0,0.00695,0.75848,0.23241,0
BSCM-000183,BTM Layout,2024-08-09,0,0.00861,0.75216,0.23167,0
BSCM-000119,Indiranagar,2024-11-27,0,0.0209,0.7217,0.23114,0
BSCM-000337,Marathahalli,2024-12-09,0,0.00779,0.75022,0.23052,0
BSCM-000250,Rajajinagar,2024-10-31,0,0.00434,0.75785,0.2304,0
BSCM-000416,Rajajinagar,2024-11-14,0,0.27293,0.1305,0.2302,0
BSCM-000250,Rajajinagar,2024-09-07,0,0.0091,0.74577,0.2301,0
BSCM-000406,Whitefield,2024-12-02,0,0.01778,0.72288,0.22931,0
BSCM-000004,Whitefield,2024-11-27,0,0.23401,0.21788,0.22917,0
BSCM-000064,BTM Layout,2024-08-12,0,0.24621,0.18894,0.22903,0
BSCM-000008,Electronic City,2024-10-23,0,0.02078,0.71422,0.22882,0
BSCM-000406,Whitefield,2024-08-29,0,0.00217,0.75755,0.22878,0
BSCM-000034,Whitefield,2024-10-04,0,0.0224,0.71013,0.22872,0
BSCM-000250,Rajajinagar,2024-08-14,0,0.00505,0.74506,0.22705,0
BSCM-000034,Whitefield,2024-12-02,0,0.00122,0.7539,0.22703,0
BSCM-000281,Whitefield,2024-10-15,0,0.11418,0.48953,0.22678,0
BSCM-000337,Marathahalli,2024-11-03,0,0.02591,0.69257,0.22591,0
BSCM-000438,Hebbal,2024-10-09,0,0.21483,0.25088,0.22564,0
BSCM-000204,Rajajinagar,2024-10-31,0,0.0332,0.67397,0.22543,0
BSCM-000008,Electronic City,2024-09-28,0,0.01082,0.72613,0.22541,0
BSCM-000321,Hebbal,2024-11-07,0,0.27919,0.09983,0.22538,0
BSCM-000273,Hebbal,2024-10-11,0,0.02863,0.68251,0.22479,0
BSCM-000012,Yelahanka,2024-09-04,0,0.25599,0.14979,0.22413,0
BSCM-000273,Hebbal,2024-09-22,0,0.05085,0.62474,0.22301,0
BSCM-000034,Whitefield,2024-12-27,0,0.01421,0.70767,0.22225,0
BSCM-000498,Indiranagar,2024-09-18,0,0.26324,0.12662,0.22225,0
BSCM-000250,Rajajinagar,2024-08-19,0,0.00913,0.71825,0.22187,0
BSCM-000008,Electronic City,2024-12-11,0,0.01828,0.69612,0.22163,0
BSCM-000273,Hebbal,2024-10-27,0,0.02401,0.68274,0.22163,0
BSCM-000195,Koramangala,2024-11-13,0,0.23885,0.18132,0.22159,0
BSCM-000250,Rajajinagar,2024-09-06,0,0.00938,0.71491,0.22104,0
BSCM-000008,Electronic City,2024-08-17,0,0.01013,0.71189,0.22066,0
BSCM-000034,Whitefield,2024-12-25,0,0.0075,0.71774,0.22057,0
BSCM-000406,Whitefield,2024-10-18,0,0.01352,0.70208,0.22009,0
BSCM-000337,Marathahalli,2024-11-11,0,0.00351,0.72452,0.21981,0
BSCM-000337,Marathahalli,2024-10-18,0,0.01527,0.69585,0.21945,0
BSCM-000337,Marathahalli,2024-10-30,0,0.00713,0.71431,0.21929,0
BSCM-000183,BTM Layout,2024-08-13,0,0.01093,0.70179,0.21819,0
BSCM-000486,Whitefield,2024-12-22,0,0.08883,0.51973,0.2181,0
BSCM-000183,BTM Layout,2024-09-08,0,0.00583,0.71309,0.21801,0
BSCM-000183,BTM Layout,2024-10-29,0,0.00525,0.71307,0.21759,0
BSCM-000056,Rajajinagar,2024-10-21,0,0.03947,0.63256,0.2174,0
BSCM-000047,Hebbal,2024-09-08,0,0.26256,0.11078,0.21703,0
BSCM-000023,Koramangala,2024-08-18,0,0.23036,0.1849,0.21672,0
BSCM-000313,Whitefield,2024-09-22,0,0.22331,0.19924,0.21609,0
BSCM-000008,Electronic City,2024-12-08,0,0.00727,0.70311,0.21602,0
BSCM-000250,Rajajinagar,2024-11-18,0,0.00758,0.7007,0.21552,0
BSCM-000183,BTM Layout,2024-12-17,0,0.01154,0.68854,0.21464,0
