alert_id,meter_id,zone,alert_timestamp,anomaly_type,severity,anomaly_score,status,estimated_loss_units,assigned_inspector,resolution_timestamp,root_cause,model_version,detector_vae_score,detector_eif_score,detector_bocpd_flag,detector_gnn_score,num_detectors_agreeing,shap_feature_1_name,shap_feature_2_name,shap_feature_3_name,shap_feature_1_value,shap_feature_2_value,shap_feature_3_value,suspected_theft_modality,consumption_drop_pct,estimated_daily_loss_inr,recommended_action,days_since_meter_install,alert_reason_code
ALT-000011,BSCM-000498,Indiranagar,2024-11-12 16:00:00,Voltage Sag,Medium,0.9683,Open,0.0,,,,TheftDetect-v2.1,0.9405,1.0,True,0.8935,4,pct_change_1d,voltage_v,z_score_vs_peer,0.189,0.1445,0.1133,meter_slowdown,81.52,272.66,Run accuracy test and compare against calibrated reference meter.,1703,PEER_DEVIATION_LOW_USAGE
ALT-000012,BSCM-000107,Hebbal,2023-01-05 00:00:00,Phase Imbalance,Low,0.9834,Resolved,0.0,INS-0013,2023-01-07T01:00:00,External surge,TheftDetect-v3.0,0.9555,0.9133,True,0.8881,4,power_factor,communication_ok,load_factor_day,0.2164,0.1957,0.1355,phase_cut,79.99,148.75,Dispatch three-phase inspection and validate phase current balance.,617,PHASE_CURRENT_MISMATCH
ALT-000013,BSCM-000149,Whitefield,2024-03-09 12:00:00,PF Degradation,High,0.5658,Open,0.0,,,,Ensemble-v1,0.5803,0.7028,False,0.592,1,voltage_v,z_score_vs_peer,night_ratio,0.1221,0.0657,0.0785,meter_slowdown,47.22,159.5,Run accuracy test and compare against calibrated reference meter.,1140,PEER_DEVIATION_LOW_USAGE
ALT-000014,BSCM-000257,Hebbal,2023-10-21 15:00:00,Reverse Energy,Medium,0.6802,Investigating,0.0,INS-0020,,,Ensemble-v1,0.5654,0.5404,False,0.6794,1,communication_ok,load_factor_day,pct_change_1d,0.1143,0.0878,0.0827,meter_slowdown,64.17,278.74,Run accuracy test and compare against calibrated reference meter.,1039,PEER_DEVIATION_LOW_USAGE
ALT-000015,BSCM-000142,BTM Layout,2024-07-28 13:00:00,Phase Imbalance,High,0.9368,Resolved,0.0,INS-0018,2024-07-29T19:00:00,Faulty firmware,Ensemble-v1,0.8333,0.9716,True,0.8246,4,z_score_vs_peer,night_ratio,power_factor,0.2102,0.1431,0.0877,phase_cut,79.39,379.36,Dispatch three-phase inspection and validate phase current balance.,1064,PHASE_CURRENT_MISMATCH
ALT-000016,BSCM-000118,Rajajinagar,2023-09-05 07:00:00,Energy Theft,Medium,0.8022,Investigating,243.28,INS-0008,,,Ensemble-v1,0.7685,0.8402,True,0.7602,4,load_factor_day,pct_change_1d,voltage_v,0.2006,0.1271,0.0855,bypass,63.35,1946.24,Dispatch inspector to verify bypass wiring and photograph service entry.,823,THEFT_BYPASS_SIGNATURE
ALT-000017,BSCM-000103,BTM Layout,2023-09-10 17:00:00,Voltage Sag,Low,0.8623,Investigating,0.0,INS-0015,,,TheftDetect-v3.0,0.8015,0.7987,True,0.7805,4,night_ratio,power_factor,communication_ok,0.1615,0.1564,0.0959,meter_slowdown,74.52,194.12,Run accuracy test and compare against calibrated reference meter.,798,PEER_DEVIATION_LOW_USAGE
ALT-000018,BSCM-000254,Whitefield,2023-03-26 05:00:00,Reverse Energy,Low,0.8451,Investigating,0.0,INS-0018,,,TheftDetect-v2.1,0.864,0.8791,True,0.7086,4,pct_change_1d,voltage_v,z_score_vs_peer,0.2177,0.1442,0.1034,meter_slowdown,73.8,330.64,Run accuracy test and compare against calibrated reference meter.,665,PEER_DEVIATION_LOW_USAGE
ALT-000019,BSCM-000032,Yelahanka,2023-06-29 01:00:00,Energy Theft,High,0.5651,Open,422.61,,,,TheftDetect-v3.0,0.5106,0.6675,True,0.6207,2,power_factor,communication_ok,load_factor_day,0.0853,0.0821,0.0717,bypass,56.09,3380.88,Dispatch inspector to verify bypass wiring and photograph service entry.,831,THEFT_BYPASS_SIGNATURE
ALT-000020,BSCM-000145,Yelahanka,2023-03-30 08:00:00,Overcurrent,High,0.6489,Resolved,0.0,INS-0020,2023-04-01T11:00:00,Faulty firmware,TheftDetect-v2.1,0.5642,0.4716,False,0.6054,1,voltage_v,z_score_vs_peer,night_ratio,0.1957,0.1012,0.0739,meter_slowdown,53.32,339.97,Run accuracy test and compare against calibrated reference meter.,221,PEER_DEVIATION_LOW_USAGE
ALT-000021,BSCM-000065,Koramangala,2023-04-22 21:00:00,Communication Loss,Critical,0.6327,Open,0.0,,,,TheftDetect-v2.1,0.7206,0.6729,False,0.7312,3,communication_ok,load_factor_day,pct_change_1d,0.1289,0.0949,0.0714,meter_slowdown,62.14,152.72,Run accuracy test and compare against calibrated reference meter.,913,PEER_DEVIATION_LOW_USAGE
ALT-000022,BSCM-000322,Indiranagar,2024-04-04 11:00:00,Communication Loss,Low,0.6805,Open,0.0,,,,TheftDetect-v2.1,0.667,0.481,False,0.5146,1,z_score_vs_peer,night_ratio,power_factor,0.1534,0.0906,0.0857,meter_slowdown,54.63,247.31,Run accuracy test and compare against calibrated reference meter.,1519,PEER_DEVIATION_LOW_USAGE
ALT-000023,BSCM-000185,Whitefield,2024-04-06 22:00:00,Meter Tamper,Medium,0.8032,Resolved,0.0,INS-0007,2024-04-11T09:00:00,Rodent damage,Ensemble-v1,0.8073,0.7259,True,0.6937,4,load_factor_day,pct_change_1d,voltage_v,0.1294,0.1108,0.0755,tamper,14.29,347.44,"Inspect meter seals, terminal cover, and tamper event register.",986,METER_TAMPER_EVENT
ALT-000024,BSCM-000452,Rajajinagar,2023-03-09 23:00:00,Overcurrent,Medium,0.8455,Resolved,0.0,INS-0013,2023-03-13T04:00:00,Faulty firmware,TheftDetect-v3.0,0.76,0.9758,True,0.771,4,night_ratio,power_factor,communication_ok,0.1845,0.1558,0.1184,meter_slowdown,72.73,427.83,Run accuracy test and compare against calibrated reference meter.,995,PEER_DEVIATION_LOW_USAGE
ALT-000025,BSCM-000131,Koramangala,2023-10-16 03:00:00,Voltage Sag,Medium,0.8589,Open,0.0,,,,TheftDetect-v3.0,0.8262,0.8124,True,0.8597,4,pct_change_1d,voltage_v,z_score_vs_peer,0.1947,0.1009,0.0638,meter_slowdown,70.57,245.5,Run accuracy test and compare against calibrated reference meter.,971,PEER_DEVIATION_LOW_USAGE
ALT-000026,BSCM-000260,Whitefield,2024-01-25 10:00:00,Overcurrent,High,0.6059,Open,0.0,,,,TheftDetect-v2.1,0.6126,0.512,False,0.593,1,power_factor,communication_ok,load_factor_day,0.1311,0.1293,0.0885,meter_slowdown,53.59,151.13,Run accuracy test and compare against calibrated reference meter.,1232,PEER_DEVIATION_LOW_USAGE
ALT-000027,BSCM-000155,Jayanagar,2024-12-28 00:00:00,Phase Imbalance,Medium,0.7746,False Positive,0.0,INS-0018,,,TheftDetect-v3.0,0.7055,0.7588,True,0.7301,4,voltage_v,z_score_vs_peer,night_ratio,0.1563,0.1171,0.0845,phase_cut,70.8,218.52,Dispatch three-phase inspection and validate phase current balance.,1669,PHASE_CURRENT_MISMATCH
ALT-000028,BSCM-000127,Jayanagar,2023-01-08 19:00:00,Energy Theft,Critical,0.9478,Investigating,263.49,INS-0011,,,Ensemble-v1,0.9703,1.0,True,0.7767,4,communication_ok,load_factor_day,pct_change_1d,0.1849,0.1362,0.1193,bypass,79.73,2107.92,Dispatch inspector to verify bypass wiring and photograph service entry.,1098,THEFT_BYPASS_SIGNATURE
ALT-000029,BSCM-000135,Electronic City,2024-01-04 15:00:00,Overcurrent,High,0.7241,Resolved,0.0,INS-0011,2024-01-09T01:00:00,External surge,TheftDetect-v3.0,0.6881,0.5776,True,0.5845,2,z_score_vs_peer,night_ratio,power_factor,0.1876,0.1307,0.0851,meter_slowdown,62.15,280.48,Run accuracy test and compare against calibrated reference meter.,1140,PEER_DEVIATION_LOW_USAGE
ALT-000030,BSCM-000456,Whitefield,2023-02-03 16:00:00,Meter Tamper,Critical,0.8238,Resolved,0.0,INS-0014,2023-02-06T09:00:00,,TheftDetect-v3.0,0.8063,0.7397,True,0.7728,4,load_factor_day,pct_change_1d,voltage_v,0.182,0.1615,0.0958,tamper,4.64,427.04,"Inspect meter seals, terminal cover, and tamper event register.",1081,METER_TAMPER_EVENT
ALT-000031,BSCM-000309,Marathahalli,2024-10-11 07:00:00,Overcurrent,Medium,0.697,Resolved,0.0,INS-0002,2024-10-13T01:00:00,Phase cut,TheftDetect-v2.1,0.6609,0.8168,False,0.547,2,night_ratio,power_factor,communication_ok,0.1919,0.1339,0.085,meter_slowdown,53.89,97.06,Run accuracy test and compare against calibrated reference meter.,991,PEER_DEVIATION_LOW_USAGE
ALT-000032,BSCM-000160,Marathahalli,2023-09-23 09:00:00,Communication Loss,Medium,0.8583,Open,0.0,,,,TheftDetect-v3.0,0.9694,1.0,True,0.7423,4,pct_change_1d,voltage_v,z_score_vs_peer,0.1757,0.1474,0.1065,meter_slowdown,66.71,294.94,Run accuracy test and compare against calibrated reference meter.,394,PEER_DEVIATION_LOW_USAGE
ALT-000033,BSCM-000432,Electronic City,2024-07-12 14:00:00,Meter Tamper,Low,0.6511,Resolved,0.0,INS-0009,2024-07-17T02:00:00,External surge,TheftDetect-v3.0,0.6503,0.6428,True,0.6385,2,power_factor,communication_ok,load_factor_day,0.1324,0.1259,0.0667,tamper,7.44,326.78,"Inspect meter seals, terminal cover, and tamper event register.",617,METER_TAMPER_EVENT
ALT-000034,BSCM-000003,Yelahanka,2023-04-13 19:00:00,Energy Theft,Critical,0.7853,Resolved,394.11,INS-0016,2023-04-17T02:00:00,,TheftDetect-v2.1,0.7218,0.6862,True,0.6487,3,voltage_v,z_score_vs_peer,night_ratio,0.1932,0.0913,0.1019,bypass,69.9,3152.88,Dispatch inspector to verify bypass wiring and photograph service entry.,341,THEFT_BYPASS_SIGNATURE
ALT-000035,BSCM-000448,Whitefield,2023-06-13 02:00:00,Voltage Sag,Low,0.9432,Resolved,0.0,INS-0015,2023-06-14T08:00:00,External surge,TheftDetect-v3.0,0.9926,1.0,True,0.9641,4,communication_ok,load_factor_day,pct_change_1d,0.1669,0.1405,0.0875,meter_slowdown,83.6,294.39,Run accuracy test and compare against calibrated reference meter.,280,PEER_DEVIATION_LOW_USAGE
ALT-000036,BSCM-000190,Jayanagar,2023-06-28 17:00:00,PF Degradation,Low,0.8292,Resolved,0.0,INS-0001,2023-06-30T22:00:00,Phase cut,Ensemble-v1,0.7559,0.9568,True,0.8405,4,z_score_vs_peer,night_ratio,power_factor,0.1521,0.1144,0.0911,meter_slowdown,63.51,403.54,Run accuracy test and compare against calibrated reference meter.,1081,PEER_DEVIATION_LOW_USAGE
ALT-000037,BSCM-000216,Electronic City,2024-10-24 03:00:00,Meter Tamper,High,0.6003,Resolved,0.0,INS-0012,2024-10-25T11:00:00,Line fault,TheftDetect-v2.1,0.6128,0.6546,True,0.4503,2,load_factor_day,pct_change_1d,voltage_v,0.1595,0.1205,0.0786,tamper,3.19,302.08,"Inspect meter seals, terminal cover, and tamper event register.",822,METER_TAMPER_EVENT
ALT-000038,BSCM-000344,Whitefield,2024-05-01 14:00:00,Voltage Sag,High,0.7626,Resolved,0.0,INS-0008,2024-05-02T22:00:00,Rodent damage,TheftDetect-v2.1,0.645,0.6976,True,0.6329,2,night_ratio,power_factor,communication_ok,0.1385,0.1143,0.0988,meter_slowdown,58.96,245.36,Run accuracy test and compare against calibrated reference meter.,1431,PEER_DEVIATION_LOW_USAGE
ALT-000039,BSCM-000188,Rajajinagar,2023-08-15 22:00:00,Voltage Sag,Low,0.9522,Open,0.0,,,,Ensemble-v1,0.8725,0.9483,True,0.6994,4,pct_change_1d,voltage_v,z_score_vs_peer,0.164,0.1693,0.1117,meter_slowdown,81.82,87.34,Run accuracy test and compare against calibrated reference meter.,493,PEER_DEVIATION_LOW_USAGE
ALT-000040,BSCM-000156,Rajajinagar,2023-09-24 00:00:00,PF Degradation,High,0.7403,Resolved,0.0,INS-0012,2023-09-26T11:00:00,Faulty firmware,Ensemble-v1,0.7521,0.7275,True,0.6245,3,power_factor,communication_ok,load_factor_day,0.2096,0.1292,0.0755,meter_slowdown,61.77,95.98,Run accuracy test and compare against calibrated reference meter.,445,PEER_DEVIATION_LOW_USAGE
ALT-000041,BSCM-000209,Hebbal,2024-02-11 23:00:00,PF Degradation,Low,0.7684,Resolved,0.0,INS-0019,2024-02-12T07:00:00,,Ensemble-v1,0.8127,0.7949,True,0.7568,4,voltage_v,z_score_vs_peer,night_ratio,0.1342,0.1057,0.098,meter_slowdown,60.03,273.36,Run accuracy test and compare against calibrated reference meter.,1222,PEER_DEVIATION_LOW_USAGE
ALT-000042,BSCM-000281,Whitefield,2024-06-27 16:00:00,Communication Loss,Medium,0.6666,Investigating,0.0,INS-0001,,,TheftDetect-v3.0,0.6769,0.7827,False,0.5876,2,communication_ok,load_factor_day,pct_change_1d,0.1513,0.0949,0.0633,meter_slowdown,59.05,92.13,Run accuracy test and compare against calibrated reference meter.,1459,PEER_DEVIATION_LOW_USAGE
ALT-000043,BSCM-000006,Rajajinagar,2024-04-13 12:00:00,Phase Imbalance,Medium,0.9899,Open,0.0,,,,TheftDetect-v3.0,0.983,1.0,True,0.9237,4,z_score_vs_peer,night_ratio,power_factor,0.2195,0.1843,0.1352,phase_cut,77.93,148.71,Dispatch three-phase inspection and validate phase current balance.,947,PHASE_CURRENT_MISMATCH
ALT-000044,BSCM-000305,Yelahanka,2023-08-27 12:00:00,Phase Imbalance,Low,0.7789,Resolved,0.0,INS-0002,2023-08-31T07:00:00,Line fault,TheftDetect-v2.1,0.7608,0.6927,True,0.6055,3,load_factor_day,pct_change_1d,voltage_v,0.1011,0.1091,0.0844,phase_cut,68.1,344.97,Dispatch three-phase inspection and validate phase current balance.,563,PHASE_CURRENT_MISMATCH
ALT-000045,BSCM-000478,Indiranagar,2023-01-13 14:00:00,Meter Tamper,Low,0.6721,Resolved,0.0,INS-0013,2023-01-16T07:00:00,Phase cut,Ensemble-v1,0.5834,0.7822,True,0.6771,3,night_ratio,power_factor,communication_ok,0.1412,0.11,0.0508,tamper,9.35,290.9,"Inspect meter seals, terminal cover, and tamper event register.",220,METER_TAMPER_EVENT
ALT-000046,BSCM-000096,Jayanagar,2024-09-05 21:00:00,Voltage Sag,High,0.6139,Investigating,0.0,INS-0008,,,TheftDetect-v2.1,0.5707,0.639,False,0.533,1,pct_change_1d,voltage_v,z_score_vs_peer,0.1463,0.0826,0.0496,meter_slowdown,57.14,292.28,Run accuracy test and compare against calibrated reference meter.,1585,PEER_DEVIATION_LOW_USAGE
ALT-000047,BSCM-000041,Electronic City,2024-05-12 20:00:00,Reverse Energy,Low,0.8736,Resolved,0.0,INS-0019,2024-05-16T04:00:00,Faulty firmware,TheftDetect-v3.0,0.846,0.9286,True,0.7934,4,power_factor,communication_ok,load_factor_day,0.201,0.1335,0.0968,meter_slowdown,79.05,113.3,Run accuracy test and compare against calibrated reference meter.,1059,PEER_DEVIATION_LOW_USAGE
ALT-000048,BSCM-000302,Rajajinagar,2023-01-05 04:00:00,Reverse Energy,Medium,0.8516,Open,0.0,,,,TheftDetect-v2.1,0.915,0.9689,True,0.7674,4,voltage_v,z_score_vs_peer,night_ratio,0.2099,0.1353,0.0958,meter_slowdown,69.64,147.44,Run accuracy test and compare against calibrated reference meter.,184,PEER_DEVIATION_LOW_USAGE
ALT-000049,BSCM-000025,Hebbal,2023-04-01 23:00:00,PF Degradation,Medium,0.7341,Resolved,0.0,INS-0010,2023-04-04T17:00:00,,Ensemble-v1,0.7547,0.6452,True,0.585,2,communication_ok,load_factor_day,pct_change_1d,0.1518,0.1018,0.1103,meter_slowdown,62.44,346.12,Run accuracy test and compare against calibrated reference meter.,425,PEER_DEVIATION_LOW_USAGE
ALT-000050,BSCM-000039,Hebbal,2023-09-27 21:00:00,Overcurrent,High,0.8849,Investigating,0.0,INS-0008,,,TheftDetect-v3.0,0.7791,0.882,True,0.7214,4,z_score_vs_peer,night_ratio,power_factor,0.2125,0.1224,0.0818,meter_slowdown,77.4,370.69,Run accuracy test and compare against calibrated reference meter.,1157,PEER_DEVIATION_LOW_USAGE
ALT-000051,BSCM-000434,Yelahanka,2023-07-29 05:00:00,Reverse Energy,Medium,0.6935,Open,0.0,,,,Ensemble-v1,0.7129,0.651,False,0.7072,3,load_factor_day,pct_change_1d,voltage_v,0.1353,0.1167,0.0769,meter_slowdown,61.06,318.18,Run accuracy test and compare against calibrated reference meter.,670,PEER_DEVIATION_LOW_USAGE
ALT-000052,BSCM-000176,Hebbal,2023-06-24 06:00:00,Phase Imbalance,Low,0.7295,False Positive,0.0,INS-0014,,,Ensemble-v1,0.7064,0.6041,True,0.698,3,night_ratio,power_factor,communication_ok,0.1252,0.0998,0.0644,phase_cut,56.55,397.71,Dispatch three-phase inspection and validate phase current balance.,1229,PHASE_CURRENT_MISMATCH
ALT-000053,BSCM-000290,Whitefield,2024-08-15 01:00:00,Phase Imbalance,High,0.908,Open,0.0,,,,Ensemble-v1,0.8674,0.9357,True,0.8953,4,pct_change_1d,voltage_v,z_score_vs_peer,0.1673,0.1291,0.0925,phase_cut,79.52,441.54,Dispatch three-phase inspection and validate phase current balance.,1217,PHASE_CURRENT_MISMATCH
ALT-000054,BSCM-000464,Indiranagar,2024-09-14 04:00:00,Communication Loss,High,0.7773,Investigating,0.0,INS-0013,,,TheftDetect-v3.0,0.814,0.9782,True,0.7334,4,power_factor,communication_ok,load_factor_day,0.1345,0.1056,0.1108,meter_slowdown,60.08,252.33,Run accuracy test and compare against calibrated reference meter.,1583,PEER_DEVIATION_LOW_USAGE
ALT-000055,BSCM-000205,BTM Layout,2023-03-08 22:00:00,Reverse Energy,Low,0.9292,Resolved,0.0,INS-0007,2023-03-13T09:00:00,Meter bypass,TheftDetect-v3.0,0.9911,0.782,True,0.8498,4,voltage_v,z_score_vs_peer,night_ratio,0.2297,0.1471,0.0852,meter_slowdown,72.26,210.06,Run accuracy test and compare against calibrated reference meter.,857,PEER_DEVIATION_LOW_USAGE
ALT-000056,BSCM-000359,Hebbal,2023-10-04 13:00:00,Reverse Energy,Low,0.7234,Investigating,0.0,INS-0005,,,TheftDetect-v2.1,0.7793,0.7208,True,0.5441,3,communication_ok,load_factor_day,pct_change_1d,0.1213,0.1346,0.0884,meter_slowdown,56.97,251.56,Run accuracy test and compare against calibrated reference meter.,1279,PEER_DEVIATION_LOW_USAGE
ALT-000057,BSCM-000148,Indiranagar,2024-01-30 01:00:00,Phase Imbalance,High,0.5721,Investigating,0.0,INS-0007,,,TheftDetect-v2.1,0.5217,0.6233,True,0.5174,1,z_score_vs_peer,night_ratio,power_factor,0.1327,0.1217,0.0688,phase_cut,46.06,217.48,Dispatch three-phase inspection and validate phase current balance.,500,PHASE_CURRENT_MISMATCH
ALT-000058,BSCM-000397,Marathahalli,2024-11-26 03:00:00,Meter Tamper,Low,0.7718,Investigating,0.0,INS-0003,,,TheftDetect-v3.0,0.7532,0.7816,True,0.7041,4,load_factor_day,pct_change_1d,voltage_v,0.1631,0.109,0.0845,tamper,10.77,183.38,"Inspect meter seals, terminal cover, and tamper event register.",1095,METER_TAMPER_EVENT
ALT-000059,BSCM-000208,Electronic City,2023-03-18 22:00:00,Reverse Energy,High,0.89,Resolved,0.0,INS-0007,2023-03-23T12:00:00,Faulty firmware,Ensemble-v1,0.9099,0.8809,True,0.9432,4,night_ratio,power_factor,communication_ok,0.1932,0.1854,0.1057,meter_slowdown,68.02,393.68,Run accuracy test and compare against calibrated reference meter.,1007,PEER_DEVIATION_LOW_USAGE
ALT-000060,BSCM-000288,Jayanagar,2023-05-30 23:00:00,Voltage Sag,Critical,0.6466,False Positive,0.0,INS-0020,,,Ensemble-v1,0.7051,0.5427,False,0.6477,1,pct_change_1d,voltage_v,z_score_vs_peer,0.1763,0.0834,0.0537,meter_slowdown,56.01,79.92,Run accuracy test and compare against calibrated reference meter.,534,PEER_DEVIATION_LOW_USAGE
ALT-000061,BSCM-000442,Electronic City,2024-03-27 15:00:00,Meter Tamper,High,0.6966,Resolved,0.0,INS-0010,2024-03-28T06:00:00,Meter bypass,TheftDetect-v2.1,0.6678,0.7152,True,0.7496,4,power_factor,communication_ok,load_factor_day,0.1423,0.1331,0.1015,tamper,13.65,310.9,"Inspect meter seals, terminal cover, and tamper event register.",928,METER_TAMPER_EVENT
ALT-000062,BSCM-000334,Rajajinagar,2023-04-28 16:00:00,Voltage Sag,Medium,0.9876,Resolved,0.0,INS-0020,2023-04-29T06:00:00,Phase cut,TheftDetect-v2.1,0.9765,0.9271,True,0.9313,4,voltage_v,z_score_vs_peer,night_ratio,0.2326,0.1436,0.1375,meter_slowdown,75.78,93.86,Run accuracy test and compare against calibrated reference meter.,598,PEER_DEVIATION_LOW_USAGE
ALT-000063,BSCM-000225,Indiranagar,2023-04-01 00:00:00,PF Degradation,Low,0.9367,Open,0.0,,,,Ensemble-v1,0.8703,0.7615,True,0.7964,4,communication_ok,load_factor_day,pct_change_1d,0.207,0.1325,0.1037,meter_slowdown,79.13,294.17,Run accuracy test and compare against calibrated reference meter.,853,PEER_DEVIATION_LOW_USAGE
ALT-000064,BSCM-000031,Koramangala,2024-10-25 18:00:00,Energy Theft,Medium,0.8978,Resolved,288.72,INS-0012,2024-10-26T11:00:00,External surge,Ensemble-v1,0.826,0.9934,True,0.8213,4,z_score_vs_peer,night_ratio,power_factor,0.1937,0.1288,0.1351,bypass,70.79,2309.76,Dispatch inspector to verify bypass wiring and photograph service entry.,1308,THEFT_BYPASS_SIGNATURE
ALT-000065,BSCM-000495,Jayanagar,2023-06-27 05:00:00,Reverse Energy,High,0.9302,Investigating,0.0,INS-0008,,,Ensemble-v1,0.979,1.0,True,0.8572,4,load_factor_day,pct_change_1d,voltage_v,0.2621,0.1478,0.0963,meter_slowdown,70.36,112.23,Run accuracy test and compare against calibrated reference meter.,845,PEER_DEVIATION_LOW_USAGE
ALT-000066,BSCM-000073,Yelahanka,2024-06-07 20:00:00,Phase Imbalance,Medium,0.6227,Resolved,0.0,INS-0004,2024-06-11T16:00:00,External surge,Ensemble-v1,0.7041,0.6268,True,0.5136,2,night_ratio,power_factor,communication_ok,0.101,0.1112,0.0745,phase_cut,54.03,201.34,Dispatch three-phase inspection and validate phase current balance.,653,PHASE_CURRENT_MISMATCH
ALT-000067,BSCM-000493,Yelahanka,2024-09-13 06:00:00,Energy Theft,Medium,0.7562,False Positive,10.3,INS-0016,,,Ensemble-v1,0.7519,0.7745,True,0.6659,4,pct_change_1d,voltage_v,z_score_vs_peer,0.1986,0.1344,0.1047,bypass,61.97,82.4,Dispatch inspector to verify bypass wiring and photograph service entry.,1683,THEFT_BYPASS_SIGNATURE
ALT-000068,BSCM-000318,Whitefield,2024-12-19 03:00:00,Meter Tamper,Low,0.9727,Resolved,0.0,INS-0018,2024-12-20T05:00:00,Phase cut,TheftDetect-v3.0,1.0,1.0,True,0.8624,4,power_factor,communication_ok,load_factor_day,0.2304,0.1368,0.1001,tamper,12.72,486.9,"Inspect meter seals, terminal cover, and tamper event register.",1728,METER_TAMPER_EVENT
ALT-000069,BSCM-000483,BTM Layout,2023-01-11 04:00:00,Meter Tamper,Medium,0.9752,Open,0.0,,,,TheftDetect-v3.0,0.9969,0.9931,True,0.9913,4,voltage_v,z_score_vs_peer,night_ratio,0.2026,0.1362,0.0865,tamper,2.61,459.52,"Inspect meter seals, terminal cover, and tamper event register.",541,METER_TAMPER_EVENT
