audit_id,meter_id,zone,action_timestamp,action_type,inspector_id,outcome,remarks,fine_inr,follow_up_date,related_alert_id
AUD-0000018,BSCM-000031,Koramangala,2024-03-14 19:00:00,Notice Issued,INS-0015,Pass,Consumer cooperative,0.0,,
AUD-0000019,BSCM-000122,Yelahanka,2023-08-18 06:00:00,Meter Replacement,INS-0020,Pass,Normal reading verified,0.0,,
AUD-0000020,BSCM-000383,Rajajinagar,2024-12-17 02:00:00,Field Inspection,INS-0007,Pass,No access to premises,0.0,,ALT-002883
AUD-0000021,BSCM-000161,Indiranagar,2024-12-31 10:00:00,Seal Verification,INS-0016,Pending,No access to premises,0.0,2025-01-12,
AUD-0000022,BSCM-000175,Marathahalli,2024-03-30 04:00:00,Physical Audit,INS-0009,Pass,Bypass wire found,0.0,,
AUD-0000023,BSCM-000082,Koramangala,2024-11-19 20:00:00,Reconnection,INS-0007,Pass,Bypass wire found,0.0,,
AUD-0000024,BSCM-000370,Indiranagar,2023-01-09 12:00:00,Seal Verification,INS-0009,Pass,Bypass wire found,0.0,,
AUD-0000025,BSCM-000420,Yelahanka,2024-05-30 21:00:00,FIR Filed,INS-0016,Fail,Seal broken — theft suspected,43582.2,,ALT-003389
AUD-0000026,BSCM-000158,Electronic City,2024-09-23 15:00:00,Reconnection,INS-0014,Fail,,0.0,,
AUD-0000027,BSCM-000454,Electronic City,2024-03-19 06:00:00,Meter Replacement,INS-0005,Pass,Normal reading verified,0.0,,
AUD-0000028,BSCM-000095,BTM Layout,2024-01-09 19:00:00,Reading Correction,INS-0019,Pass,,0.0,,
AUD-0000029,BSCM-000248,Rajajinagar,2024-02-17 21:00:00,Tariff Update,INS-0018,Pass,,0.0,,
AUD-0000030,BSCM-000030,Whitefield,2024-11-17 07:00:00,Reading Correction,INS-0011,Pass,No access to premises,0.0,,
AUD-0000031,BSCM-000300,Jayanagar,2024-12-29 11:00:00,Disconnection Order,INS-0012,Pass,Seal broken — theft suspected,0.0,,
AUD-0000032,BSCM-000307,Indiranagar,2023-04-21 07:00:00,Seal Verification,INS-0004,Pending,Meter dead — replaced,0.0,2023-05-28,
AUD-0000033,BSCM-000333,BTM Layout,2024-03-04 11:00:00,Meter Replacement,INS-0020,Pending,Consumer cooperative,0.0,2024-04-02,
AUD-0000034,BSCM-000417,Yelahanka,2024-04-14 01:00:00,Meter Replacement,INS-0011,Pass,No access to premises,0.0,,
AUD-0000035,BSCM-000336,Rajajinagar,2024-02-23 12:00:00,Notice Issued,INS-0012,Pass,Meter seal intact,0.0,,
AUD-0000036,BSCM-000124,Jayanagar,2023-05-05 15:00:00,Tariff Update,INS-0015,Pass,Seal broken — theft suspected,0.0,,
AUD-0000037,BSCM-000084,Koramangala,2024-07-17 13:00:00,Field Inspection,INS-0009,Pass,Seal broken — theft suspected,0.0,,ALT-000271
AUD-0000038,BSCM-000118,Rajajinagar,2023-10-05 09:00:00,Physical Audit,INS-0005,Pass,Seal broken — theft suspected,0.0,,
AUD-0000039,BSCM-000395,Yelahanka,2024-04-02 19:00:00,Meter Replacement,INS-0010,Pass,,0.0,,
AUD-0000040,BSCM-000129,Hebbal,2024-06-07 10:00:00,Reading Correction,INS-0015,Escalated,Consumer cooperative,0.0,2024-07-02,
AUD-0000041,BSCM-000237,Electronic City,2023-07-23 23:00:00,Tariff Update,INS-0011,Pass,Meter dead — replaced,0.0,,
AUD-0000042,BSCM-000208,Electronic City,2024-06-20 12:00:00,Physical Audit,INS-0001,Pass,,0.0,,
AUD-0000043,BSCM-000051,Whitefield,2023-07-09 09:00:00,Reconnection,INS-0013,Pass,No access to premises,0.0,,
AUD-0000044,BSCM-000170,BTM Layout,2023-07-10 08:00:00,FIR Filed,INS-0011,Pending,Consumer cooperative,0.0,2023-08-06,ALT-000495
AUD-0000045,BSCM-000500,Yelahanka,2024-02-26 20:00:00,Meter Replacement,INS-0016,Pending,Seal broken — theft suspected,0.0,2024-04-09,
AUD-0000046,BSCM-000169,Koramangala,2023-08-03 03:00:00,Reading Correction,INS-0005,Escalated,Meter dead — replaced,0.0,2023-09-16,
AUD-0000047,BSCM-000023,Koramangala,2024-11-22 00:00:00,Field Inspection,INS-0020,Fail,No access to premises,0.0,,ALT-002481
AUD-0000048,BSCM-000494,Marathahalli,2024-04-18 08:00:00,Reconnection,INS-0017,Pending,No access to premises,0.0,2024-05-12,
AUD-0000049,BSCM-000460,Jayanagar,2024-10-30 01:00:00,Notice Issued,INS-0019,Escalated,Meter seal intact,0.0,2024-11-28,
AUD-0000050,BSCM-000485,Koramangala,2024-10-28 03:00:00,Physical Audit,INS-0020,Pass,No access to premises,0.0,,
AUD-0000051,BSCM-000167,Jayanagar,2023-10-23 04:00:00,Reading Correction,INS-0006,Pass,Normal reading verified,0.0,,
AUD-0000052,BSCM-000396,Electronic City,2024-08-16 00:00:00,Disconnection Order,INS-0020,Pass,Normal reading verified,0.0,,
AUD-0000053,BSCM-000407,Electronic City,2024-09-23 17:00:00,Field Inspection,INS-0002,Pass,Seal broken — theft suspected,0.0,,ALT-000172
AUD-0000054,BSCM-000288,Jayanagar,2023-05-20 09:00:00,Meter Replacement,INS-0016,Pass,Seal broken — theft suspected,0.0,,
AUD-0000055,BSCM-000164,Indiranagar,2024-11-03 22:00:00,Physical Audit,INS-0005,Fail,Seal broken — theft suspected,0.0,,
AUD-0000056,BSCM-000231,Rajajinagar,2023-04-30 21:00:00,Field Inspection,INS-0004,Escalated,Meter seal intact,0.0,2023-06-25,ALT-002384
AUD-0000057,BSCM-000245,Electronic City,2023-12-06 10:00:00,FIR Filed,INS-0004,Pass,Normal reading verified,0.0,,ALT-001956
AUD-0000058,BSCM-000019,Indiranagar,2023-03-26 01:00:00,Physical Audit,INS-0009,Pending,No access to premises,0.0,2023-04-11,
AUD-0000059,BSCM-000214,Hebbal,2023-04-18 13:00:00,Reading Correction,INS-0013,Pending,,0.0,2023-05-06,
AUD-0000060,BSCM-000312,Electronic City,2023-11-26 23:00:00,Notice Issued,INS-0002,Pass,,0.0,,
AUD-0000061,BSCM-000410,Indiranagar,2024-05-03 09:00:00,Field Inspection,INS-0008,Fail,Bypass wire found,0.0,,ALT-002106
AUD-0000062,BSCM-000223,Jayanagar,2024-10-02 08:00:00,Notice Issued,INS-0006,Pass,No access to premises,0.0,,
AUD-0000063,BSCM-000457,Marathahalli,2023-09-04 01:00:00,Notice Issued,INS-0011,Pass,Consumer cooperative,0.0,,
AUD-0000064,BSCM-000173,Jayanagar,2024-04-30 01:00:00,Seal Verification,INS-0018,Escalated,Seal broken — theft suspected,0.0,2024-05-23,
AUD-0000065,BSCM-000127,Jayanagar,2023-12-07 00:00:00,Reading Correction,INS-0003,Pass,Meter seal intact,0.0,,
AUD-0000066,BSCM-000178,Marathahalli,2023-01-19 18:00:00,Reconnection,INS-0004,Pending,Seal broken — theft suspected,0.0,2023-02-23,
AUD-0000067,BSCM-000392,Electronic City,2023-08-06 11:00:00,Physical Audit,INS-0012,Fail,Bypass wire found,0.0,,
AUD-0000068,BSCM-000441,Whitefield,2023-01-12 12:00:00,Reconnection,INS-0007,Pass,Meter seal intact,0.0,,
AUD-0000069,BSCM-000076,Hebbal,2023-09-13 17:00:00,Field Inspection,INS-0014,Pending,No access to premises,0.0,2023-11-07,ALT-001970
AUD-0000070,BSCM-000357,Indiranagar,2023-08-23 04:00:00,Physical Audit,INS-0004,Escalated,Meter dead — replaced,0.0,2023-09-11,
AUD-0000071,BSCM-000023,Koramangala,2023-01-13 06:00:00,Reconnection,INS-0009,Pass,Seal broken — theft suspected,0.0,,
AUD-0000072,BSCM-000340,Yelahanka,2024-10-18 00:00:00,Physical Audit,INS-0004,Escalated,Seal broken — theft suspected,0.0,2024-11-29,
AUD-0000073,BSCM-000169,Koramangala,2024-07-21 21:00:00,Reconnection,INS-0007,Pass,No access to premises,0.0,,
AUD-0000074,BSCM-000188,Rajajinagar,2024-01-03 17:00:00,Reading Correction,INS-0005,Pass,Meter dead — replaced,0.0,,
AUD-0000075,BSCM-000236,Indiranagar,2024-08-09 16:00:00,Notice Issued,INS-0010,Pass,Consumer cooperative,0.0,,
AUD-0000076,BSCM-000122,Yelahanka,2023-09-02 17:00:00,Seal Verification,INS-0013,Escalated,Consumer cooperative,0.0,2023-10-23,
AUD-0000077,BSCM-000055,Jayanagar,2023-10-26 10:00:00,Seal Verification,INS-0014,Fail,Normal reading verified,0.0,,
AUD-0000078,BSCM-000338,Rajajinagar,2024-07-08 00:00:00,Seal Verification,INS-0016,Pending,No access to premises,0.0,2024-08-15,
AUD-0000079,BSCM-000483,BTM Layout,2023-08-11 23:00:00,Tariff Update,INS-0002,Fail,Consumer cooperative,0.0,,
AUD-0000080,BSCM-000203,Electronic City,2023-01-09 02:00:00,Reading Correction,INS-0017,Fail,Bypass wire found,0.0,,
AUD-0000081,BSCM-000325,Marathahalli,2024-10-22 11:00:00,Seal Verification,INS-0002,Fail,No access to premises,0.0,,
AUD-0000082,BSCM-000363,Jayanagar,2023-10-10 09:00:00,FIR Filed,INS-0007,Pass,Consumer cooperative,0.0,,ALT-003395
AUD-0000083,BSCM-000429,Koramangala,2023-09-24 16:00:00,FIR Filed,INS-0017,Pass,Bypass wire found,0.0,,ALT-001060
AUD-0000084,BSCM-000226,Hebbal,2023-01-12 10:00:00,Field Inspection,INS-0010,Escalated,No access to premises,0.0,2023-01-29,ALT-002496
AUD-0000085,BSCM-000449,Rajajinagar,2023-12-31 02:00:00,FIR Filed,INS-0010,Pass,,0.0,,ALT-001471
AUD-0000086,BSCM-000259,Jayanagar,2024-02-13 03:00:00,Tariff Update,INS-0007,Pass,Bypass wire found,0.0,,
AUD-0000087,BSCM-000368,Rajajinagar,2023-06-20 12:00:00,Physical Audit,INS-0004,Pass,Bypass wire found,0.0,,
AUD-0000088,BSCM-000141,Whitefield,2024-09-29 22:00:00,Reconnection,INS-0008,Pass,Meter dead — replaced,0.0,,
AUD-0000089,BSCM-000092,Whitefield,2024-06-18 06:00:00,FIR Filed,INS-0004,Pass,,0.0,,ALT-000307
AUD-0000090,BSCM-000227,Rajajinagar,2024-12-30 00:00:00,Reading Correction,INS-0012,Pending,Consumer cooperative,0.0,2025-01-20,
AUD-0000091,BSCM-000227,Rajajinagar,2024-06-23 20:00:00,Reconnection,INS-0007,Pass,Bypass wire found,0.0,,
AUD-0000092,BSCM-000464,Indiranagar,2023-05-11 20:00:00,Seal Verification,INS-0013,Pass,Meter dead — replaced,0.0,,
AUD-0000093,BSCM-000028,Electronic City,2024-02-23 07:00:00,Reconnection,INS-0017,Pass,Seal broken — theft suspected,0.0,,
AUD-0000094,BSCM-000389,Whitefield,2024-07-21 01:00:00,Notice Issued,INS-0008,Pass,Meter seal intact,0.0,,
AUD-0000095,BSCM-000214,Hebbal,2024-07-31 23:00:00,Notice Issued,INS-0020,Pending,Seal broken — theft suspected,0.0,2024-09-15,
AUD-0000096,BSCM-000002,Whitefield,2024-05-27 18:00:00,Reconnection,INS-0011,Fail,No access to premises,0.0,,
AUD-0000097,BSCM-000468,Jayanagar,2024-10-31 21:00:00,Disconnection Order,INS-0007,Pass,,0.0,,
AUD-0000098,BSCM-000116,Electronic City,2024-05-14 18:00:00,Physical Audit,INS-0020,Pending,Bypass wire found,0.0,2024-05-27,
AUD-0000099,BSCM-000061,Indiranagar,2023-03-02 11:00:00,Tariff Update,INS-0014,Pending,Normal reading verified,0.0,2023-03-17,
AUD-0000100,BSCM-000337,Marathahalli,2024-02-15 07:00:00,Disconnection Order,INS-0007,Pass,Bypass wire found,0.0,,
AUD-0000101,BSCM-000222,Marathahalli,2024-11-30 11:00:00,Reconnection,INS-0017,Pending,Seal broken — theft suspected,0.0,2025-01-12,
AUD-0000102,BSCM-000191,Yelahanka,2023-06-03 15:00:00,Notice Issued,INS-0010,Fail,Normal reading verified,24741.5,,
AUD-0000103,BSCM-000456,Whitefield,2023-09-30 02:00:00,Reading Correction,INS-0008,Pass,Normal reading verified,0.0,,
AUD-0000104,BSCM-000065,Koramangala,2023-10-06 13:00:00,Tariff Update,INS-0016,Pass,,0.0,,
AUD-0000105,BSCM-000330,Marathahalli,2023-03-11 18:00:00,Tariff Update,INS-0015,Pass,Consumer cooperative,0.0,,
AUD-0000106,BSCM-000246,BTM Layout,2024-07-27 20:00:00,Reading Correction,INS-0005,Fail,Bypass wire found,0.0,,
AUD-0000107,BSCM-000217,Marathahalli,2023-02-27 02:00:00,Reading Correction,INS-0014,Pass,Consumer cooperative,0.0,,
AUD-0000108,BSCM-000177,BTM Layout,2024-01-03 08:00:00,Seal Verification,INS-0020,Pass,No access to premises,0.0,,
AUD-0000109,BSCM-000374,Marathahalli,2024-10-14 02:00:00,Meter Replacement,INS-0012,Pending,No access to premises,0.0,2024-12-04,
AUD-0000110,BSCM-000129,Hebbal,2024-04-07 00:00:00,FIR Filed,INS-0017,Escalated,,0.0,2024-05-10,ALT-000161
AUD-0000111,BSCM-000417,Yelahanka,2024-03-16 04:00:00,Meter Replacement,INS-0010,Pass,Seal broken — theft suspected,0.0,,
AUD-0000112,BSCM-000191,Yelahanka,2024-05-25 19:00:00,Field Inspection,INS-0019,Fail,,0.0,,ALT-002255
AUD-0000113,BSCM-000440,Whitefield,2023-06-01 13:00:00,Reconnection,INS-0016,Pass,No access to premises,0.0,,
AUD-0000114,BSCM-000154,Whitefield,2024-10-27 16:00:00,Reconnection,INS-0020,Escalated,Seal broken — theft suspected,0.0,2024-12-25,
AUD-0000115,BSCM-000094,Marathahalli,2023-11-24 04:00:00,Notice Issued,INS-0001,Pending,Seal broken — theft suspected,0.0,2024-01-02,
AUD-0000116,BSCM-000105,Rajajinagar,2024-05-31 11:00:00,Physical Audit,INS-0018,Pass,Meter seal intact,0.0,,
AUD-0000117,BSCM-000380,Whitefield,2024-06-02 18:00:00,Physical Audit,INS-0003,Pass,Consumer cooperative,0.0,,
AUD-0000118,BSCM-000020,Whitefield,2023-04-12 16:00:00,Reading Correction,INS-0020,Pass,Seal broken — theft suspected,0.0,,
AUD-0000119,BSCM-000221,Yelahanka,2023-03-19 08:00:00,Seal Verification,INS-0003,Pending,Seal broken — theft suspected,0.0,2023-04-17,
AUD-0000120,BSCM-000109,Electronic City,2024-02-06 22:00:00,Reading Correction,INS-0006,Pass,Meter seal intact,0.0,,
AUD-0000121,BSCM-000169,Koramangala,2024-03-30 22:00:00,Tariff Update,INS-0017,Pass,Seal broken — theft suspected,0.0,,
AUD-0000122,BSCM-000075,Marathahalli,2023-10-31 00:00:00,Meter Replacement,INS-0006,Pass,Consumer cooperative,0.0,,
AUD-0000123,BSCM-000176,Hebbal,2024-10-24 16:00:00,Reconnection,INS-0004,Fail,Seal broken — theft suspected,0.0,,
AUD-0000124,BSCM-000459,Marathahalli,2023-08-25 10:00:00,Tariff Update,INS-0020,Pending,Meter dead — replaced,0.0,2023-10-19,
AUD-0000125,BSCM-000488,Marathahalli,2024-11-08 10:00:00,FIR Filed,INS-0020,Pass,No access to premises,0.0,,ALT-002633
AUD-0000126,BSCM-000367,Hebbal,2023-05-20 15:00:00,Notice Issued,INS-0018,Pass,,0.0,,
AUD-0000127,BSCM-000321,Hebbal,2023-03-16 09:00:00,Reconnection,INS-0008,Pending,Bypass wire found,0.0,2023-04-05,
AUD-0000128,BSCM-000099,Rajajinagar,2024-04-12 03:00:00,Meter Replacement,INS-0010,Fail,,0.0,,
AUD-0000129,BSCM-000305,Yelahanka,2023-08-23 13:00:00,Meter Replacement,INS-0001,Pending,No access to premises,0.0,2023-10-08,
AUD-0000130,BSCM-000155,Jayanagar,2023-05-19 19:00:00,Disconnection Order,INS-0012,Pending,Meter seal intact,0.0,2023-06-16,
AUD-0000131,BSCM-000499,Electronic City,2024-12-21 00:00:00,Meter Replacement,INS-0016,Pass,Seal broken — theft suspected,0.0,,
AUD-0000132,BSCM-000326,Jayanagar,2024-05-13 14:00:00,Reconnection,INS-0002,Fail,No access to premises,0.0,,
AUD-0000133,BSCM-000097,Whitefield,2024-03-30 23:00:00,Meter Replacement,INS-0006,Pending,Meter seal intact,0.0,2024-05-27,
AUD-0000134,BSCM-000425,Electronic City,2024-06-05 11:00:00,Tariff Update,INS-0012,Fail,Normal reading verified,0.0,,
AUD-0000135,BSCM-000218,Rajajinagar,2023-08-20 13:00:00,Tariff Update,INS-0006,Pass,Normal reading verified,0.0,,
AUD-0000136,BSCM-000168,Marathahalli,2023-04-08 06:00:00,FIR Filed,INS-0008,Pass,Consumer cooperative,0.0,,ALT-002182
AUD-0000137,BSCM-000290,Whitefield,2024-11-23 17:00:00,Seal Verification,INS-0001,Pass,Seal broken — theft suspected,0.0,,
AUD-0000138,BSCM-000340,Yelahanka,2023-06-28 04:00:00,Meter Replacement,INS-0018,Pass,Meter seal intact,0.0,,
AUD-0000139,BSCM-000365,Rajajinagar,2024-01-15 14:00:00,Disconnection Order,INS-0011,Pass,Consumer cooperative,0.0,,
AUD-0000140,BSCM-000266,Marathahalli,2024-03-05 03:00:00,FIR Filed,INS-0014,Pass,Consumer cooperative,0.0,,ALT-003200
AUD-0000141,BSCM-000484,Jayanagar,2024-03-24 14:00:00,Disconnection Order,INS-0017,Fail,Bypass wire found,0.0,,
AUD-0000142,BSCM-000386,Hebbal,2023-06-09 05:00:00,Physical Audit,INS-0006,Pass,No access to premises,0.0,,
AUD-0000143,BSCM-000177,BTM Layout,2023-07-12 16:00:00,Disconnection Order,INS-0011,Pass,Meter seal intact,0.0,,
AUD-0000144,BSCM-000070,Whitefield,2023-11-18 17:00:00,Physical Audit,INS-0009,Pass,Meter dead — replaced,0.0,,
AUD-0000145,BSCM-000217,Marathahalli,2023-08-20 03:00:00,Field Inspection,INS-0019,Pass,Normal reading verified,0.0,,ALT-001217
AUD-0000146,BSCM-000450,Yelahanka,2024-06-13 00:00:00,Reading Correction,INS-0001,Pass,Meter dead — replaced,0.0,,
AUD-0000147,BSCM-000336,Rajajinagar,2024-11-01 16:00:00,Reconnection,INS-0015,Pass,Meter seal intact,0.0,,
AUD-0000148,BSCM-000181,Marathahalli,2024-12-06 04:00:00,Seal Verification,INS-0018,Pending,Seal broken — theft suspected,0.0,2024-12-23,
AUD-0000149,BSCM-000075,Marathahalli,2023-02-14 16:00:00,Seal Verification,INS-0013,Pass,,0.0,,
AUD-0000150,BSCM-000220,Marathahalli,2024-03-18 11:00:00,Reconnection,INS-0016,Fail,No access to premises,0.0,,
AUD-0000151,BSCM-000308,Indiranagar,2024-01-14 16:00:00,FIR Filed,INS-0007,Escalated,No access to premises,0.0,2024-02-14,ALT-002635
AUD-0000152,BSCM-000248,Rajajinagar,2023-08-19 11:00:00,Physical Audit,INS-0013,Pass,Normal reading verified,0.0,,
AUD-0000153,BSCM-000463,Whitefield,2024-11-16 03:00:00,Tariff Update,INS-0018,Pass,Bypass wire found,0.0,,
AUD-0000154,BSCM-000212,Hebbal,2024-01-13 13:00:00,Seal Verification,INS-0014,Pass,Bypass wire found,0.0,,
AUD-0000155,BSCM-000193,Rajajinagar,2024-06-10 19:00:00,Reconnection,INS-0013,Pending,Consumer cooperative,0.0,2024-07-28,
AUD-0000156,BSCM-000266,Marathahalli,2023-05-27 09:00:00,Disconnection Order,INS-0012,Pass,Meter dead — replaced,0.0,,
AUD-0000157,BSCM-000360,Rajajinagar,2024-09-02 22:00:00,Reconnection,INS-0020,Fail,Seal broken — theft suspected,0.0,,
AUD-0000158,BSCM-000175,Marathahalli,2023-09-27 12:00:00,Disconnection Order,INS-0005,Pass,No access to premises,0.0,,
AUD-0000159,BSCM-000344,Whitefield,2023-03-13 19:00:00,Meter Replacement,INS-0018,Pass,Meter seal intact,0.0,,
AUD-0000160,BSCM-000116,Electronic City,2024-06-04 12:00:00,Meter Replacement,INS-0014,Escalated,No access to premises,0.0,2024-06-30,
AUD-0000161,BSCM-000162,Koramangala,2024-02-17 11:00:00,Tariff Update,INS-0012,Fail,No access to premises,0.0,,
AUD-0000162,BSCM-000318,Whitefield,2023-04-15 15:00:00,Physical Audit,INS-0020,Pass,Seal broken — theft suspected,0.0,,
AUD-0000163,BSCM-000156,Rajajinagar,2024-09-13 00:00:00,Reconnection,INS-0015,Escalated,Normal reading verified,0.0,2024-10-07,
AUD-0000164,BSCM-000277,Indiranagar,2024-01-14 16:00:00,Meter Replacement,INS-0014,Pass,,0.0,,
AUD-0000165,BSCM-000249,Jayanagar,2024-09-09 23:00:00,Seal Verification,INS-0011,Pass,Meter dead — replaced,0.0,,
AUD-0000166,BSCM-000145,Yelahanka,2023-09-21 09:00:00,Reconnection,INS-0010,Pass,Meter seal intact,0.0,,
AUD-0000167,BSCM-000238,Jayanagar,2024-11-29 11:00:00,Reading Correction,INS-0001,Pending,Consumer cooperative,0.0,2024-12-07,
AUD-0000168,BSCM-000436,Rajajinagar,2023-09-30 07:00:00,Tariff Update,INS-0019,Fail,Bypass wire found,0.0,,
AUD-0000169,BSCM-000212,Hebbal,2023-12-15 04:00:00,Reconnection,INS-0006,Pass,Bypass wire found,0.0,,
AUD-0000170,BSCM-000361,Koramangala,2023-08-16 15:00:00,Disconnection Order,INS-0004,Pass,Meter dead — replaced,0.0,,
AUD-0000171,BSCM-000445,Hebbal,2023-03-31 21:00:00,Seal Verification,INS-0012,Pass,Consumer cooperative,0.0,,
AUD-0000172,BSCM-000438,Hebbal,2023-06-29 07:00:00,Reconnection,INS-0012,Escalated,Normal reading verified,0.0,2023-08-15,
AUD-0000173,BSCM-000419,BTM Layout,2024-04-15 07:00:00,Notice Issued,INS-0012,Pass,Meter dead — replaced,0.0,,
AUD-0000174,BSCM-000036,Marathahalli,2023-12-28 00:00:00,Physical Audit,INS-0013,Pass,No access to premises,0.0,,
AUD-0000175,BSCM-000371,Electronic City,2024-11-22 15:00:00,Field Inspection,INS-0008,Escalated,Bypass wire found,0.0,2025-01-09,ALT-001775
AUD-0000176,BSCM-000176,Hebbal,2024-03-01 01:00:00,Seal Verification,INS-0012,Fail,No access to premises,0.0,,
AUD-0000177,BSCM-000009,Koramangala,2023-10-05 21:00:00,Physical Audit,INS-0008,Pass,Consumer cooperative,0.0,,
AUD-0000178,BSCM-000378,Koramangala,2024-07-03 11:00:00,Tariff Update,INS-0014,Fail,No access to premises,0.0,,
AUD-0000179,BSCM-000179,Yelahanka,2024-04-09 05:00:00,Reading Correction,INS-0006,Pending,Meter seal intact,0.0,2024-06-06,
AUD-0000180,BSCM-000160,Marathahalli,2023-05-14 21:00:00,FIR Filed,INS-0006,Pass,Meter dead — replaced,0.0,,ALT-000154
AUD-0000181,BSCM-000423,Yelahanka,2023-12-12 07:00:00,Tariff Update,INS-0002,Fail,,0.0,,
AUD-0000182,BSCM-000222,Marathahalli,2023-04-06 20:00:00,Seal Verification,INS-0002,Pass,Consumer cooperative,0.0,,
AUD-0000183,BSCM-000335,Whitefield,2024-11-26 22:00:00,Meter Replacement,INS-0001,Escalated,Seal broken — theft suspected,0.0,2025-01-03,
AUD-0000184,BSCM-000346,Electronic City,2023-03-30 10:00:00,Reconnection,INS-0011,Escalated,No access to premises,0.0,2023-04-23,
AUD-0000185,BSCM-000030,Whitefield,2023-05-24 05:00:00,Meter Replacement,INS-0005,Escalated,,0.0,2023-06-09,
AUD-0000186,BSCM-000157,Indiranagar,2023-03-15 14:00:00,Tariff Update,INS-0011,Pass,Bypass wire found,0.0,,
AUD-0000187,BSCM-000203,Electronic City,2024-01-17 19:00:00,FIR Filed,INS-0001,Fail,Meter dead — replaced,32346.9,,ALT-003183
AUD-0000188,BSCM-000401,BTM Layout,2023-11-18 17:00:00,Physical Audit,INS-0008,Pass,Meter dead — replaced,0.0,,
AUD-0000189,BSCM-000097,Whitefield,2024-02-29 18:00:00,Disconnection Order,INS-0002,Pending,Seal broken — theft suspected,0.0,2024-04-24,
AUD-0000190,BSCM-000155,Jayanagar,2024-12-28 10:00:00,FIR Filed,INS-0015,Pending,Normal reading verified,0.0,2025-01-16,ALT-002115
AUD-0000191,BSCM-000368,Rajajinagar,2024-10-28 20:00:00,Seal Verification,INS-0005,Pending,,0.0,2024-11-15,
AUD-0000192,BSCM-000174,Yelahanka,2024-10-05 21:00:00,Tariff Update,INS-0014,Pass,Bypass wire found,0.0,,
AUD-0000193,BSCM-000036,Marathahalli,2023-09-20 20:00:00,Meter Replacement,INS-0019,Pass,Meter dead — replaced,0.0,,
AUD-0000194,BSCM-000250,Rajajinagar,2023-02-07 21:00:00,Reading Correction,INS-0006,Pass,Seal broken — theft suspected,0.0,,
AUD-0000195,BSCM-000284,Hebbal,2023-12-23 14:00:00,FIR Filed,INS-0017,Pass,Consumer cooperative,0.0,,ALT-000276
AUD-0000196,BSCM-000359,Hebbal,2024-09-17 21:00:00,Tariff Update,INS-0008,Pass,Consumer cooperative,0.0,,
AUD-0000197,BSCM-000243,Jayanagar,2023-01-07 03:00:00,Notice Issued,INS-0018,Pass,Normal reading verified,0.0,,
AUD-0000198,BSCM-000389,Whitefield,2024-12-29 23:00:00,Seal Verification,INS-0017,Pass,,0.0,,
AUD-0000199,BSCM-000130,Hebbal,2023-11-20 12:00:00,Tariff Update,INS-0009,Pass,Bypass wire found,0.0,,
AUD-0000200,BSCM-000494,Marathahalli,2024-04-09 20:00:00,Physical Audit,INS-0002,Pass,,0.0,,
