metric_id,model_name,model_version,evaluation_date,metric_type,metric_value,dataset_size,training_date,feature_drift_psi,distribution_shift_detected,notes
MET-000037,TheftDetect-v2.1,2.1.5,2024-01-01,mape_pct,0.0303,51416,2023-11-01,0.02,False,Stable performance
MET-000038,TheftDetect-v2.1,2.1.5,2024-01-01,f1_score,0.7633,51416,2023-11-01,0.02,False,Stable performance
MET-000039,TheftDetect-v2.1,2.1.5,2024-01-01,precision,0.8128,51416,2023-11-01,0.02,False,Stable performance
MET-000040,TheftDetect-v2.1,2.1.5,2024-01-01,recall,0.7079,51416,2023-11-01,0.02,False,Stable performance
MET-000041,TheftDetect-v2.1,2.1.5,2024-01-01,auc_roc,0.9021,51416,2023-11-01,0.02,False,Stable performance
MET-000042,TheftDetect-v2.1,2.1.5,2024-01-01,rmse,2.1361,51416,2023-11-01,0.02,False,Stable performance
MET-000043,TheftDetect-v2.1,2.1.5,2024-01-01,coverage,0.845,51416,2023-11-01,0.02,False,Stable performance
MET-000044,TheftDetect-v2.1,2.1.5,2024-01-01,latency_p99,119.4164,51416,2023-11-01,0.02,False,Stable performance
MET-000045,TheftDetect-v2.1,2.1.5,2024-01-01,false_positive_rate,0.1215,51416,2023-11-01,0.02,False,Stable performance
MET-000046,LSTM-v2,2.1.0,2024-01-08,mape_pct,0.0376,50753,2023-11-16,0.0832,False,Stable performance
MET-000047,LSTM-v2,2.1.0,2024-01-08,f1_score,0.7742,50753,2023-11-16,0.0832,False,Stable performance
MET-000048,LSTM-v2,2.1.0,2024-01-08,precision,0.8148,50753,2023-11-16,0.0832,False,Stable performance
MET-000049,LSTM-v2,2.1.0,2024-01-08,recall,0.6644,50753,2023-11-16,0.0832,False,Stable performance
MET-000050,LSTM-v2,2.1.0,2024-01-08,auc_roc,0.9032,50753,2023-11-16,0.0832,False,Stable performance
MET-000051,LSTM-v2,2.1.0,2024-01-08,rmse,2.2549,50753,2023-11-16,0.0832,False,Stable performance
MET-000052,LSTM-v2,2.1.0,2024-01-08,coverage,0.8485,50753,2023-11-16,0.0832,False,Stable performance
MET-000053,LSTM-v2,2.1.0,2024-01-08,latency_p99,155.3043,50753,2023-11-16,0.0832,False,Stable performance
MET-000054,LSTM-v2,2.1.0,2024-01-08,false_positive_rate,0.1166,50753,2023-11-16,0.0832,False,Stable performance
MET-000055,XGBoost-v3,3.2.1,2024-01-08,mape_pct,0.0335,51112,2023-11-07,0.0656,False,Stable performance
MET-000056,XGBoost-v3,3.2.1,2024-01-08,f1_score,0.7651,51112,2023-11-07,0.0656,False,Stable performance
MET-000057,XGBoost-v3,3.2.1,2024-01-08,precision,0.7954,51112,2023-11-07,0.0656,False,Stable performance
MET-000058,XGBoost-v3,3.2.1,2024-01-08,recall,0.6742,51112,2023-11-07,0.0656,False,Stable performance
MET-000059,XGBoost-v3,3.2.1,2024-01-08,auc_roc,0.8863,51112,2023-11-07,0.0656,False,Stable performance
MET-000060,XGBoost-v3,3.2.1,2024-01-08,rmse,2.1955,51112,2023-11-07,0.0656,False,Stable performance
MET-000061,XGBoost-v3,3.2.1,2024-01-08,coverage,0.8576,51112,2023-11-07,0.0656,False,Stable performance
MET-000062,XGBoost-v3,3.2.1,2024-01-08,latency_p99,144.8573,51112,2023-11-07,0.0656,False,Stable performance
MET-000063,XGBoost-v3,3.2.1,2024-01-08,false_positive_rate,0.1183,51112,2023-11-07,0.0656,False,Stable performance
MET-000064,TFT-v1,1.0.0,2024-01-08,mape_pct,0.0393,50670,2023-11-24,0.0903,False,Stable performance
MET-000065,TFT-v1,1.0.0,2024-01-08,f1_score,0.7591,50670,2023-11-24,0.0903,False,Stable performance
MET-000066,TFT-v1,1.0.0,2024-01-08,precision,0.8291,50670,2023-11-24,0.0903,False,Stable performance
MET-000067,TFT-v1,1.0.0,2024-01-08,recall,0.6668,50670,2023-11-24,0.0903,False,Stable performance
MET-000068,TFT-v1,1.0.0,2024-01-08,auc_roc,0.9114,50670,2023-11-24,0.0903,False,Stable performance
MET-000069,TFT-v1,1.0.0,2024-01-08,rmse,2.2514,50670,2023-11-24,0.0903,False,Stable performance
MET-000070,TFT-v1,1.0.0,2024-01-08,coverage,0.8482,50670,2023-11-24,0.0903,False,Stable performance
MET-000071,TFT-v1,1.0.0,2024-01-08,latency_p99,120.474,50670,2023-11-24,0.0903,False,Stable performance
MET-000072,TFT-v1,1.0.0,2024-01-08,false_positive_rate,0.1159,50670,2023-11-24,0.0903,False,Stable performance
MET-000073,Ensemble-v4,4.1.0,2024-01-08,mape_pct,0.0444,51246,2023-11-23,0.0903,False,Stable performance
MET-000074,Ensemble-v4,4.1.0,2024-01-08,f1_score,0.7588,51246,2023-11-23,0.0903,False,Stable performance
MET-000075,Ensemble-v4,4.1.0,2024-01-08,precision,0.8055,51246,2023-11-23,0.0903,False,Stable performance
MET-000076,Ensemble-v4,4.1.0,2024-01-08,recall,0.6895,51246,2023-11-23,0.0903,False,Stable performance
MET-000077,Ensemble-v4,4.1.0,2024-01-08,auc_roc,0.8999,51246,2023-11-23,0.0903,False,Stable performance
MET-000078,Ensemble-v4,4.1.0,2024-01-08,rmse,2.3441,51246,2023-11-23,0.0903,False,Stable performance
MET-000079,Ensemble-v4,4.1.0,2024-01-08,coverage,0.8551,51246,2023-11-23,0.0903,False,Stable performance
MET-000080,Ensemble-v4,4.1.0,2024-01-08,latency_p99,137.8745,51246,2023-11-23,0.0903,False,Stable performance
MET-000081,Ensemble-v4,4.1.0,2024-01-08,false_positive_rate,0.1193,51246,2023-11-23,0.0903,False,Stable performance
MET-000082,TheftDetect-v2.1,2.1.5,2024-01-08,mape_pct,0.0256,51636,2023-11-08,0.0384,False,Stable performance
MET-000083,TheftDetect-v2.1,2.1.5,2024-01-08,f1_score,0.7889,51636,2023-11-08,0.0384,False,Stable performance
MET-000084,TheftDetect-v2.1,2.1.5,2024-01-08,precision,0.8113,51636,2023-11-08,0.0384,False,Stable performance
MET-000085,TheftDetect-v2.1,2.1.5,2024-01-08,recall,0.6767,51636,2023-11-08,0.0384,False,Stable performance
MET-000086,TheftDetect-v2.1,2.1.5,2024-01-08,auc_roc,0.8859,51636,2023-11-08,0.0384,False,Stable performance
MET-000087,TheftDetect-v2.1,2.1.5,2024-01-08,rmse,1.8651,51636,2023-11-08,0.0384,False,Stable performance
MET-000088,TheftDetect-v2.1,2.1.5,2024-01-08,coverage,0.8508,51636,2023-11-08,0.0384,False,Stable performance
MET-000089,TheftDetect-v2.1,2.1.5,2024-01-08,latency_p99,117.369,51636,2023-11-08,0.0384,False,Stable performance
MET-000090,TheftDetect-v2.1,2.1.5,2024-01-08,false_positive_rate,0.1202,51636,2023-11-08,0.0384,False,Stable performance
MET-000091,LSTM-v2,2.1.0,2024-01-15,mape_pct,0.0333,50973,2023-11-23,0.0671,False,Stable performance
MET-000092,LSTM-v2,2.1.0,2024-01-15,f1_score,0.7438,50973,2023-11-23,0.0671,False,Stable performance
MET-000093,LSTM-v2,2.1.0,2024-01-15,precision,0.7923,50973,2023-11-23,0.0671,False,Stable performance
MET-000094,LSTM-v2,2.1.0,2024-01-15,recall,0.7119,50973,2023-11-23,0.0671,False,Stable performance
MET-000095,LSTM-v2,2.1.0,2024-01-15,auc_roc,0.9169,50973,2023-11-23,0.0671,False,Stable performance
MET-000096,LSTM-v2,2.1.0,2024-01-15,rmse,1.9538,50973,2023-11-23,0.0671,False,Stable performance
MET-000097,LSTM-v2,2.1.0,2024-01-15,coverage,0.8388,50973,2023-11-23,0.0671,False,Stable performance
MET-000098,LSTM-v2,2.1.0,2024-01-15,latency_p99,133.6066,50973,2023-11-23,0.0671,False,Stable performance
MET-000099,LSTM-v2,2.1.0,2024-01-15,false_positive_rate,0.1225,50973,2023-11-23,0.0671,False,Stable performance
MET-000100,XGBoost-v3,3.2.1,2024-01-15,mape_pct,0.04,51332,2023-11-14,0.0719,False,Stable performance
MET-000101,XGBoost-v3,3.2.1,2024-01-15,f1_score,0.7688,51332,2023-11-14,0.0719,False,Stable performance
MET-000102,XGBoost-v3,3.2.1,2024-01-15,precision,0.7937,51332,2023-11-14,0.0719,False,Stable performance
MET-000103,XGBoost-v3,3.2.1,2024-01-15,recall,0.6838,51332,2023-11-14,0.0719,False,Stable performance
MET-000104,XGBoost-v3,3.2.1,2024-01-15,auc_roc,0.9099,51332,2023-11-14,0.0719,False,Stable performance
MET-000105,XGBoost-v3,3.2.1,2024-01-15,rmse,1.9935,51332,2023-11-14,0.0719,False,Stable performance
MET-000106,XGBoost-v3,3.2.1,2024-01-15,coverage,0.8566,51332,2023-11-14,0.0719,False,Stable performance
MET-000107,XGBoost-v3,3.2.1,2024-01-15,latency_p99,126.3128,51332,2023-11-14,0.0719,False,Stable performance
MET-000108,XGBoost-v3,3.2.1,2024-01-15,false_positive_rate,0.1429,51332,2023-11-14,0.0719,False,Stable performance
MET-000109,TFT-v1,1.0.0,2024-01-15,mape_pct,0.0379,50890,2023-12-01,0.0308,False,Stable performance
MET-000110,TFT-v1,1.0.0,2024-01-15,f1_score,0.7472,50890,2023-12-01,0.0308,False,Stable performance
MET-000111,TFT-v1,1.0.0,2024-01-15,precision,0.836,50890,2023-12-01,0.0308,False,Stable performance
MET-000112,TFT-v1,1.0.0,2024-01-15,recall,0.6645,50890,2023-12-01,0.0308,False,Stable performance
MET-000113,TFT-v1,1.0.0,2024-01-15,auc_roc,0.9082,50890,2023-12-01,0.0308,False,Stable performance
MET-000114,TFT-v1,1.0.0,2024-01-15,rmse,1.6851,50890,2023-12-01,0.0308,False,Stable performance
MET-000115,TFT-v1,1.0.0,2024-01-15,coverage,0.8467,50890,2023-12-01,0.0308,False,Stable performance
MET-000116,TFT-v1,1.0.0,2024-01-15,latency_p99,136.3222,50890,2023-12-01,0.0308,False,Stable performance
MET-000117,TFT-v1,1.0.0,2024-01-15,false_positive_rate,0.1258,50890,2023-12-01,0.0308,False,Stable performance
MET-000118,Ensemble-v4,4.1.0,2024-01-15,mape_pct,0.0398,51466,2023-11-30,0.07,False,Stable performance
MET-000119,Ensemble-v4,4.1.0,2024-01-15,f1_score,0.7782,51466,2023-11-30,0.07,False,Stable performance
MET-000120,Ensemble-v4,4.1.0,2024-01-15,precision,0.7992,51466,2023-11-30,0.07,False,Stable performance
MET-000121,Ensemble-v4,4.1.0,2024-01-15,recall,0.6536,51466,2023-11-30,0.07,False,Stable performance
MET-000122,Ensemble-v4,4.1.0,2024-01-15,auc_roc,0.9015,51466,2023-11-30,0.07,False,Stable performance
MET-000123,Ensemble-v4,4.1.0,2024-01-15,rmse,2.0074,51466,2023-11-30,0.07,False,Stable performance
MET-000124,Ensemble-v4,4.1.0,2024-01-15,coverage,0.8575,51466,2023-11-30,0.07,False,Stable performance
MET-000125,Ensemble-v4,4.1.0,2024-01-15,latency_p99,139.1735,51466,2023-11-30,0.07,False,Stable performance
MET-000126,Ensemble-v4,4.1.0,2024-01-15,false_positive_rate,0.1158,51466,2023-11-30,0.07,False,Stable performance
MET-000127,TheftDetect-v2.1,2.1.5,2024-01-15,mape_pct,0.0405,51856,2023-11-15,0.0816,False,Stable performance
MET-000128,TheftDetect-v2.1,2.1.5,2024-01-15,f1_score,0.7704,51856,2023-11-15,0.0816,False,Stable performance
MET-000129,TheftDetect-v2.1,2.1.5,2024-01-15,precision,0.8004,51856,2023-11-15,0.0816,False,Stable performance
MET-000130,TheftDetect-v2.1,2.1.5,2024-01-15,recall,0.691,51856,2023-11-15,0.0816,False,Stable performance
MET-000131,TheftDetect-v2.1,2.1.5,2024-01-15,auc_roc,0.9054,51856,2023-11-15,0.0816,False,Stable performance
MET-000132,TheftDetect-v2.1,2.1.5,2024-01-15,rmse,2.2388,51856,2023-11-15,0.0816,False,Stable performance
MET-000133,TheftDetect-v2.1,2.1.5,2024-01-15,coverage,0.8669,51856,2023-11-15,0.0816,False,Stable performance
MET-000134,TheftDetect-v2.1,2.1.5,2024-01-15,latency_p99,138.6218,51856,2023-11-15,0.0816,False,Stable performance
MET-000135,TheftDetect-v2.1,2.1.5,2024-01-15,false_positive_rate,0.1186,51856,2023-11-15,0.0816,False,Stable performance
MET-000136,LSTM-v2,2.1.0,2024-01-22,mape_pct,0.0384,51193,2023-11-30,0.0382,False,Stable performance
MET-000137,LSTM-v2,2.1.0,2024-01-22,f1_score,0.7758,51193,2023-11-30,0.0382,False,Stable performance
MET-000138,LSTM-v2,2.1.0,2024-01-22,precision,0.8332,51193,2023-11-30,0.0382,False,Stable performance
MET-000139,LSTM-v2,2.1.0,2024-01-22,recall,0.6473,51193,2023-11-30,0.0382,False,Stable performance
MET-000140,LSTM-v2,2.1.0,2024-01-22,auc_roc,0.9145,51193,2023-11-30,0.0382,False,Stable performance
MET-000141,LSTM-v2,2.1.0,2024-01-22,rmse,1.9214,51193,2023-11-30,0.0382,False,Stable performance
MET-000142,LSTM-v2,2.1.0,2024-01-22,coverage,0.8541,51193,2023-11-30,0.0382,False,Stable performance
MET-000143,LSTM-v2,2.1.0,2024-01-22,latency_p99,117.7053,51193,2023-11-30,0.0382,False,Stable performance
MET-000144,LSTM-v2,2.1.0,2024-01-22,false_positive_rate,0.1259,51193,2023-11-30,0.0382,False,Stable performance
MET-000145,XGBoost-v3,3.2.1,2024-01-22,mape_pct,0.0351,51552,2023-11-21,0.0813,False,Stable performance
MET-000146,XGBoost-v3,3.2.1,2024-01-22,f1_score,0.7621,51552,2023-11-21,0.0813,False,Stable performance
MET-000147,XGBoost-v3,3.2.1,2024-01-22,precision,0.8138,51552,2023-11-21,0.0813,False,Stable performance
MET-000148,XGBoost-v3,3.2.1,2024-01-22,recall,0.6802,51552,2023-11-21,0.0813,False,Stable performance
MET-000149,XGBoost-v3,3.2.1,2024-01-22,auc_roc,0.9113,51552,2023-11-21,0.0813,False,Stable performance
MET-000150,XGBoost-v3,3.2.1,2024-01-22,rmse,2.0981,51552,2023-11-21,0.0813,False,Stable performance
MET-000151,XGBoost-v3,3.2.1,2024-01-22,coverage,0.8355,51552,2023-11-21,0.0813,False,Stable performance
MET-000152,XGBoost-v3,3.2.1,2024-01-22,latency_p99,136.8815,51552,2023-11-21,0.0813,False,Stable performance
MET-000153,XGBoost-v3,3.2.1,2024-01-22,false_positive_rate,0.1264,51552,2023-11-21,0.0813,False,Stable performance
MET-000154,TFT-v1,1.0.0,2024-01-22,mape_pct,0.0412,51110,2023-12-08,0.0738,False,Stable performance
MET-000155,TFT-v1,1.0.0,2024-01-22,f1_score,0.7323,51110,2023-12-08,0.0738,False,Stable performance
MET-000156,TFT-v1,1.0.0,2024-01-22,precision,0.8039,51110,2023-12-08,0.0738,False,Stable performance
MET-000157,TFT-v1,1.0.0,2024-01-22,recall,0.6616,51110,2023-12-08,0.0738,False,Stable performance
MET-000158,TFT-v1,1.0.0,2024-01-22,auc_roc,0.8891,51110,2023-12-08,0.0738,False,Stable performance
MET-000159,TFT-v1,1.0.0,2024-01-22,rmse,2.099,51110,2023-12-08,0.0738,False,Stable performance
MET-000160,TFT-v1,1.0.0,2024-01-22,coverage,0.8597,51110,2023-12-08,0.0738,False,Stable performance
MET-000161,TFT-v1,1.0.0,2024-01-22,latency_p99,136.8917,51110,2023-12-08,0.0738,False,Stable performance
MET-000162,TFT-v1,1.0.0,2024-01-22,false_positive_rate,0.1164,51110,2023-12-08,0.0738,False,Stable performance
MET-000163,Ensemble-v4,4.1.0,2024-01-22,mape_pct,0.0398,51686,2023-12-07,0.0624,False,Stable performance
MET-000164,Ensemble-v4,4.1.0,2024-01-22,f1_score,0.7747,51686,2023-12-07,0.0624,False,Stable performance
MET-000165,Ensemble-v4,4.1.0,2024-01-22,precision,0.8021,51686,2023-12-07,0.0624,False,Stable performance
MET-000166,Ensemble-v4,4.1.0,2024-01-22,recall,0.6689,51686,2023-12-07,0.0624,False,Stable performance
MET-000167,Ensemble-v4,4.1.0,2024-01-22,auc_roc,0.8854,51686,2023-12-07,0.0624,False,Stable performance
MET-000168,Ensemble-v4,4.1.0,2024-01-22,rmse,1.9975,51686,2023-12-07,0.0624,False,Stable performance
MET-000169,Ensemble-v4,4.1.0,2024-01-22,coverage,0.8411,51686,2023-12-07,0.0624,False,Stable performance
MET-000170,Ensemble-v4,4.1.0,2024-01-22,latency_p99,156.0302,51686,2023-12-07,0.0624,False,Stable performance
MET-000171,Ensemble-v4,4.1.0,2024-01-22,false_positive_rate,0.1127,51686,2023-12-07,0.0624,False,Stable performance
MET-000172,TheftDetect-v2.1,2.1.5,2024-01-22,mape_pct,0.045,52076,2023-11-22,0.0937,False,Stable performance
MET-000173,TheftDetect-v2.1,2.1.5,2024-01-22,f1_score,0.7598,52076,2023-11-22,0.0937,False,Stable performance
MET-000174,TheftDetect-v2.1,2.1.5,2024-01-22,precision,0.8019,52076,2023-11-22,0.0937,False,Stable performance
MET-000175,TheftDetect-v2.1,2.1.5,2024-01-22,recall,0.6512,52076,2023-11-22,0.0937,False,Stable performance
MET-000176,TheftDetect-v2.1,2.1.5,2024-01-22,auc_roc,0.8937,52076,2023-11-22,0.0937,False,Stable performance
MET-000177,TheftDetect-v2.1,2.1.5,2024-01-22,rmse,2.4342,52076,2023-11-22,0.0937,False,Stable performance
MET-000178,TheftDetect-v2.1,2.1.5,2024-01-22,coverage,0.8553,52076,2023-11-22,0.0937,False,Stable performance
MET-000179,TheftDetect-v2.1,2.1.5,2024-01-22,latency_p99,137.2106,52076,2023-11-22,0.0937,False,Stable performance
MET-000180,TheftDetect-v2.1,2.1.5,2024-01-22,false_positive_rate,0.14,52076,2023-11-22,0.0937,False,Stable performance
MET-000181,LSTM-v2,2.1.0,2024-01-29,mape_pct,0.0384,51413,2023-12-07,0.0854,False,Stable performance
MET-000182,LSTM-v2,2.1.0,2024-01-29,f1_score,0.7619,51413,2023-12-07,0.0854,False,Stable performance
MET-000183,LSTM-v2,2.1.0,2024-01-29,precision,0.7954,51413,2023-12-07,0.0854,False,Stable performance
MET-000184,LSTM-v2,2.1.0,2024-01-29,recall,0.6662,51413,2023-12-07,0.0854,False,Stable performance
MET-000185,LSTM-v2,2.1.0,2024-01-29,auc_roc,0.8977,51413,2023-12-07,0.0854,False,Stable performance
MET-000186,LSTM-v2,2.1.0,2024-01-29,rmse,2.2423,51413,2023-12-07,0.0854,False,Stable performance
MET-000187,LSTM-v2,2.1.0,2024-01-29,coverage,0.8432,51413,2023-12-07,0.0854,False,Stable performance
MET-000188,LSTM-v2,2.1.0,2024-01-29,latency_p99,136.2882,51413,2023-12-07,0.0854,False,Stable performance
MET-000189,LSTM-v2,2.1.0,2024-01-29,false_positive_rate,0.1215,51413,2023-12-07,0.0854,False,Stable performance
MET-000190,XGBoost-v3,3.2.1,2024-01-29,mape_pct,0.0345,51772,2023-11-28,0.0455,False,Stable performance
MET-000191,XGBoost-v3,3.2.1,2024-01-29,f1_score,0.7338,51772,2023-11-28,0.0455,False,Stable performance
MET-000192,XGBoost-v3,3.2.1,2024-01-29,precision,0.8027,51772,2023-11-28,0.0455,False,Stable performance
MET-000193,XGBoost-v3,3.2.1,2024-01-29,recall,0.6629,51772,2023-11-28,0.0455,False,Stable performance
MET-000194,XGBoost-v3,3.2.1,2024-01-29,auc_roc,0.9017,51772,2023-11-28,0.0455,False,Stable performance
MET-000195,XGBoost-v3,3.2.1,2024-01-29,rmse,1.649,51772,2023-11-28,0.0455,False,Stable performance
MET-000196,XGBoost-v3,3.2.1,2024-01-29,coverage,0.8579,51772,2023-11-28,0.0455,False,Stable performance
MET-000197,XGBoost-v3,3.2.1,2024-01-29,latency_p99,139.0989,51772,2023-11-28,0.0455,False,Stable performance
MET-000198,XGBoost-v3,3.2.1,2024-01-29,false_positive_rate,0.117,51772,2023-11-28,0.0455,False,Stable performance
MET-000199,TFT-v1,1.0.0,2024-01-29,mape_pct,0.0369,51330,2023-12-15,0.0805,False,Stable performance
MET-000200,TFT-v1,1.0.0,2024-01-29,f1_score,0.7366,51330,2023-12-15,0.0805,False,Stable performance
MET-000201,TFT-v1,1.0.0,2024-01-29,precision,0.8055,51330,2023-12-15,0.0805,False,Stable performance
MET-000202,TFT-v1,1.0.0,2024-01-29,recall,0.6894,51330,2023-12-15,0.0805,False,Stable performance
MET-000203,TFT-v1,1.0.0,2024-01-29,auc_roc,0.8871,51330,2023-12-15,0.0805,False,Stable performance
MET-000204,TFT-v1,1.0.0,2024-01-29,rmse,2.0682,51330,2023-12-15,0.0805,False,Stable performance
MET-000205,TFT-v1,1.0.0,2024-01-29,coverage,0.8516,51330,2023-12-15,0.0805,False,Stable performance
MET-000206,TFT-v1,1.0.0,2024-01-29,latency_p99,168.7015,51330,2023-12-15,0.0805,False,Stable performance
MET-000207,TFT-v1,1.0.0,2024-01-29,false_positive_rate,0.1267,51330,2023-12-15,0.0805,False,Stable performance
MET-000208,Ensemble-v4,4.1.0,2024-01-29,mape_pct,0.0272,51906,2023-12-14,0.0204,False,Stable performance
MET-000209,Ensemble-v4,4.1.0,2024-01-29,f1_score,0.7859,51906,2023-12-14,0.0204,False,Stable performance
MET-000210,Ensemble-v4,4.1.0,2024-01-29,precision,0.8462,51906,2023-12-14,0.0204,False,Stable performance
MET-000211,Ensemble-v4,4.1.0,2024-01-29,recall,0.6817,51906,2023-12-14,0.0204,False,Stable performance
MET-000212,Ensemble-v4,4.1.0,2024-01-29,auc_roc,0.9041,51906,2023-12-14,0.0204,False,Stable performance
MET-000213,Ensemble-v4,4.1.0,2024-01-29,rmse,1.9501,51906,2023-12-14,0.0204,False,Stable performance
MET-000214,Ensemble-v4,4.1.0,2024-01-29,coverage,0.852,51906,2023-12-14,0.0204,False,Stable performance
MET-000215,Ensemble-v4,4.1.0,2024-01-29,latency_p99,93.1351,51906,2023-12-14,0.0204,False,Stable performance
MET-000216,Ensemble-v4,4.1.0,2024-01-29,false_positive_rate,0.124,51906,2023-12-14,0.0204,False,Stable performance
MET-000217,TheftDetect-v2.1,2.1.5,2024-01-29,mape_pct,0.0394,52296,2023-11-29,0.0527,False,Stable performance
MET-000218,TheftDetect-v2.1,2.1.5,2024-01-29,f1_score,0.7554,52296,2023-11-29,0.0527,False,Stable performance
MET-000219,TheftDetect-v2.1,2.1.5,2024-01-29,precision,0.812,52296,2023-11-29,0.0527,False,Stable performance
MET-000220,TheftDetect-v2.1,2.1.5,2024-01-29,recall,0.697,52296,2023-11-29,0.0527,False,Stable performance
MET-000221,TheftDetect-v2.1,2.1.5,2024-01-29,auc_roc,0.9144,52296,2023-11-29,0.0527,False,Stable performance
MET-000222,TheftDetect-v2.1,2.1.5,2024-01-29,rmse,2.0562,52296,2023-11-29,0.0527,False,Stable performance
MET-000223,TheftDetect-v2.1,2.1.5,2024-01-29,coverage,0.8573,52296,2023-11-29,0.0527,False,Stable performance
MET-000224,TheftDetect-v2.1,2.1.5,2024-01-29,latency_p99,136.9172,52296,2023-11-29,0.0527,False,Stable performance
MET-000225,TheftDetect-v2.1,2.1.5,2024-01-29,false_positive_rate,0.1241,52296,2023-11-29,0.0527,False,Stable performance
MET-000226,LSTM-v2,2.1.0,2024-02-05,mape_pct,0.0312,51633,2023-12-14,0.0377,False,Stable performance
MET-000227,LSTM-v2,2.1.0,2024-02-05,f1_score,0.7389,51633,2023-12-14,0.0377,False,Stable performance
MET-000228,LSTM-v2,2.1.0,2024-02-05,precision,0.8224,51633,2023-12-14,0.0377,False,Stable performance
